beginyear,medium,imageurl,decade,hex_color
1490,print,"https://api.nga.gov/iiif/1398e4b0-2ecd-4da7-bc07-e7c67969b374/full/!200,200/0/default.jpg",1490,"166, 136, 105"
1480,sculpture,"https://api.nga.gov/iiif/1595ea1a-2edb-4ffc-bcd2-0a1980bad4ab/full/!200,200/0/default.jpg",1480,"50, 38, 26"
1478,sculpture,"https://api.nga.gov/iiif/421c09ef-f81a-4698-8b98-e504febd4225/full/!200,200/0/default.jpg",1470,"60, 53, 45"
1480,print,"https://api.nga.gov/iiif/33e29032-6d8d-4b06-855d-ffc0b1efacb8/full/!200,200/0/default.jpg",1480,"129, 107, 83"
1450,print,"https://api.nga.gov/iiif/d88b5268-d3ed-4611-8ae3-1dd55a531599/full/!200,200/0/default.jpg",1450,"190, 167, 135"
1465,sculpture,"https://api.nga.gov/iiif/b8920cee-3023-43e2-9644-ba1abd2ec7b8/full/!200,200/0/default.jpg",1460,"58, 50, 40"
1430,drawing,"https://api.nga.gov/iiif/2a4bbfd6-3d5a-44dd-8338-c0e9ea700b94/full/!200,200/0/default.jpg",1430,"184, 166, 156"
1455,sculpture,"https://api.nga.gov/iiif/831fe2ab-c3a9-480b-9eba-a926a34582ed/full/!200,200/0/default.jpg",1450,"114, 108, 101"
1420,sculpture,"https://api.nga.gov/iiif/192f0638-6de0-45d8-8a31-ccbeab9f2485/full/!200,200/0/default.jpg",1420,"43, 35, 29"
1473,sculpture,"https://api.nga.gov/iiif/db08c6cb-a3ef-478b-9186-9d12e37f3561/full/!200,200/0/default.jpg",1470,"87, 84, 79"
1450,print,"https://api.nga.gov/iiif/d1bce3e2-c611-437e-bc6c-ef3d6473e981/full/!200,200/0/default.jpg",1450,"178, 164, 145"
1475,sculpture,"https://api.nga.gov/iiif/b3bf597b-38b1-4a8b-a143-0247f8328bd3/full/!200,200/0/default.jpg",1470,"89, 63, 43"
1447,sculpture,"https://api.nga.gov/iiif/f4460d5e-e23f-4d1c-af03-a99671cfb0b1/full/!200,200/0/default.jpg",1440,"43, 39, 36"
1490,print,"https://api.nga.gov/iiif/51ea27bd-dd01-434d-81ac-53703e3ba01d/full/!200,200/0/default.jpg",1490,"187, 165, 129"
1485,sculpture,"https://api.nga.gov/iiif/7dc04e47-ac8a-475f-bb7a-802bce3cc3d2/full/!200,200/0/default.jpg",1480,"62, 44, 29"
1489,drawing,"https://api.nga.gov/iiif/206665d0-fcb6-4eab-97a5-e29e2700efd4/full/!200,200/0/default.jpg",1480,"213, 200, 186"
1475,sculpture,"https://api.nga.gov/iiif/86507bd9-7e7b-418d-8973-8c16014eeec7/full/!200,200/0/default.jpg",1470,"52, 39, 22"
1475,sculpture,"https://api.nga.gov/iiif/614fcbe8-c263-4ca8-a92f-b131b5338c12/full/!200,200/0/default.jpg",1470,"110, 77, 51"
1486,print,"https://api.nga.gov/iiif/f799ad71-94f6-4dc2-882e-307aeede2d24/full/!200,200/0/default.jpg",1480,"200, 184, 158"
1475,print,"https://api.nga.gov/iiif/11bb4a72-0a9d-4f4f-80b4-108b3decdf05/full/!200,200/0/default.jpg",1470,"130, 119, 106"
1425,drawing,"https://api.nga.gov/iiif/71d7eec5-6f34-4e19-a8d2-b6a3e951efe9/full/!200,200/0/default.jpg",1420,"185, 168, 145"
1475,sculpture,"https://api.nga.gov/iiif/ba21b9cc-17da-4ead-b765-816331d82e58/full/!200,200/0/default.jpg",1470,"51, 38, 25"
1496,sculpture,"https://api.nga.gov/iiif/0284c693-39ca-4732-9ebd-469441707186/full/!200,200/0/default.jpg",1490,"69, 59, 47"
1420,sculpture,"https://api.nga.gov/iiif/dad234d1-8450-4914-9c92-37d7b6674e84/full/!200,200/0/default.jpg",1420,"50, 40, 32"
1442,painting,"https://api.nga.gov/iiif/d1eead36-4fdb-4e08-ac4d-50c91a4b8a00/full/!200,200/0/default.jpg",1440,"126, 106, 75"
1498,print,"https://api.nga.gov/iiif/f7867f3b-b119-4327-9dcc-3bc1afd0f4b5/full/!200,200/0/default.jpg",1490,"193, 184, 163"
1490,print,"https://api.nga.gov/iiif/77920b28-6441-481d-b2ed-8c9310f518b5/full/!200,200/0/default.jpg",1490,"194, 174, 149"
1470,print,"https://api.nga.gov/iiif/f5cbaf3f-a9a7-4a8a-bfde-3e5f0d2577cb/full/!200,200/0/default.jpg",1470,"144, 130, 110"
1445,sculpture,"https://api.nga.gov/iiif/db9cec07-cecd-45b6-a2e1-c72deca845d4/full/!200,200/0/default.jpg",1440,"61, 51, 41"
1480,print,"https://api.nga.gov/iiif/cc8f1cf0-d95c-48cf-b275-94a35f38c5ec/full/!200,200/0/default.jpg",1480,"185, 167, 138"
1495,sculpture,"https://api.nga.gov/iiif/5b028bd2-4d7d-415d-becd-bcfc924ba94b/full/!200,200/0/default.jpg",1490,"52, 44, 36"
1430,print,"https://api.nga.gov/iiif/f091623e-2be7-4651-95a0-6fa72f275b2d/full/!200,200/0/default.jpg",1430,"193, 172, 129"
1471,print,"https://api.nga.gov/iiif/30db2815-5786-4fc2-8698-bb267f0dab79/full/!200,200/0/default.jpg",1470,"153, 141, 121"
1495,sculpture,"https://api.nga.gov/iiif/5a675b94-6b14-4d17-8ece-6a0ffc2a178b/full/!200,200/0/default.jpg",1490,"67, 55, 45"
1475,painting,"https://api.nga.gov/iiif/8af6e0ff-0847-4335-8fe3-72702e74fca5/full/!200,200/0/default.jpg",1470,"120, 101, 84"
1450,print,"https://api.nga.gov/iiif/2e9a6f3d-fc08-4295-9317-f8057d7bbbaf/full/!200,200/0/default.jpg",1450,"196, 181, 155"
1470,sculpture,"https://api.nga.gov/iiif/18ee462d-cf02-4550-b351-d3ca5d7516fb/full/!200,200/0/default.jpg",1470,"71, 65, 57"
1470,sculpture,"https://api.nga.gov/iiif/807c1c2a-2f5b-4339-913b-f7123e952b23/full/!200,200/0/default.jpg",1470,"75, 55, 33"
1440,print,"https://api.nga.gov/iiif/d8a0bbf2-c17a-4166-8711-a1b721d1345f/full/!200,200/0/default.jpg",1440,"171, 152, 111"
1450,drawing,"https://api.nga.gov/iiif/76105174-86a8-498f-a004-378e5a013f3d/full/!200,200/0/default.jpg",1450,"150, 141, 129"
1488,sculpture,"https://api.nga.gov/iiif/1ab777b3-4423-48e9-a4cf-3bbc742407b7/full/!200,200/0/default.jpg",1480,"66, 52, 36"
1493,painting,"https://api.nga.gov/iiif/7afeb3aa-95f4-4d07-b785-edfea8189e08/full/!200,200/0/default.jpg",1490,"61, 47, 35"
1470,sculpture,"https://api.nga.gov/iiif/b53ba8ca-41a9-48e7-be4f-65047ecf7170/full/!200,200/0/default.jpg",1470,"48, 42, 37"
1475,sculpture,"https://api.nga.gov/iiif/a33732a1-1389-4db7-a453-30f5f1759bd8/full/!200,200/0/default.jpg",1470,"51, 44, 34"
1480,print,"https://api.nga.gov/iiif/4c3168ff-0b06-45ca-85f9-cd81436cbaa0/full/!200,200/0/default.jpg",1480,"183, 166, 144"
1480,print,"https://api.nga.gov/iiif/3a8f7172-eaa6-45fc-bf6e-7a468e33cd72/full/!200,200/0/default.jpg",1480,"147, 133, 114"
1492,drawing,"https://api.nga.gov/iiif/3d1cb511-fb0d-4c20-a431-40c4b5d9ce22/full/!200,200/0/default.jpg",1490,"186, 173, 152"
1470,sculpture,"https://api.nga.gov/iiif/be64a708-879f-4091-93f7-cd49cc281bd6/full/!200,200/0/default.jpg",1470,"76, 57, 43"
1425,sculpture,"https://api.nga.gov/iiif/027b1577-6349-47de-be89-0b2474b211ab/full/!200,200/0/default.jpg",1420,"47, 41, 29"
1425,sculpture,"https://api.nga.gov/iiif/027b1577-6349-47de-be89-0b2474b211ab/full/!200,200/0/default.jpg",1420,"47, 41, 29"
1470,print,"https://api.nga.gov/iiif/92ecc3e7-6b4c-4b71-9e8f-de58669d5d87/full/!200,200/0/default.jpg",1470,"169, 156, 137"
1441,sculpture,"https://api.nga.gov/iiif/58cb7c40-e9d3-4ab3-a06f-a2f6cf5ada57/full/!200,200/0/default.jpg",1440,"51, 42, 35"
1488,sculpture,"https://api.nga.gov/iiif/1d0a729f-6c30-4378-b05e-b11e55e430fb/full/!200,200/0/default.jpg",1480,"92, 75, 59"
1470,painting,"https://api.nga.gov/iiif/8788f9a6-142d-40b7-953b-a9a208ff2eef/full/!200,200/0/default.jpg",1470,"105, 106, 98"
1497,sculpture,"https://api.nga.gov/iiif/7f1c945e-844f-4f67-80f1-9d57ce52b1ee/full/!200,200/0/default.jpg",1490,"51, 47, 42"
1445,sculpture,"https://api.nga.gov/iiif/db9cec07-cecd-45b6-a2e1-c72deca845d4/full/!200,200/0/default.jpg",1440,"61, 51, 41"
1477,sculpture,"https://api.nga.gov/iiif/e0fdbc13-d7e1-44f7-abb1-e617b9079f39/full/!200,200/0/default.jpg",1470,"69, 60, 53"
1470,print,"https://api.nga.gov/iiif/c7e59343-f485-4c10-93ff-e19bbd715129/full/!200,200/0/default.jpg",1470,"202, 178, 143"
1480,print,"https://api.nga.gov/iiif/2b3ea273-756c-4998-b2d4-2fafe3614fe8/full/!200,200/0/default.jpg",1480,"128, 107, 82"
1487,sculpture,"https://api.nga.gov/iiif/e2b9fb28-e022-45be-ac2d-662e717e0bb6/full/!200,200/0/default.jpg",1480,"37, 35, 29"
1450,sculpture,"https://api.nga.gov/iiif/aa9b4ce1-e5f1-4445-812d-5f880ff064f8/full/!200,200/0/default.jpg",1450,"71, 65, 54"
1472,sculpture,"https://api.nga.gov/iiif/a8c9a7de-f05a-49a3-8cb2-9349a5bf9136/full/!200,200/0/default.jpg",1470,"60, 50, 36"
1479,sculpture,"https://api.nga.gov/iiif/9c400cd9-ab43-4f6d-af64-01e93f7a7de3/full/!200,200/0/default.jpg",1470,"35, 32, 28"
1488,print,"https://api.nga.gov/iiif/d0946089-1069-482c-89bd-da2644cb0db2/full/!200,200/0/default.jpg",1480,"201, 185, 159"
1460,print,"https://api.nga.gov/iiif/fc913ffa-24e4-4081-abb1-c163f11caae4/full/!200,200/0/default.jpg",1460,"189, 173, 146"
1470,sculpture,"https://api.nga.gov/iiif/43237e44-a640-469a-8027-59e0881e2a7d/full/!200,200/0/default.jpg",1470,"57, 47, 37"
1485,sculpture,"https://api.nga.gov/iiif/1b25ecda-2c85-4a55-bf66-3483a1656b1f/full/!200,200/0/default.jpg",1480,"64, 51, 43"
1479,sculpture,"https://api.nga.gov/iiif/35a8de5f-debf-4abd-b8a4-bdfd52cb4383/full/!200,200/0/default.jpg",1470,"84, 80, 75"
