beginyear,medium,imageurl,decade,DominantColorRGB,PaletteRGB
1450,print,"https://api.nga.gov/iiif/a098a721-767e-4d1d-9576-3c6f1f200776/full/!200,200/0/default.jpg",1500,"(81, 72, 65)","(81, 72, 65), (235, 222, 202), (129, 116, 101), (161, 149, 131), (149, 136, 114)"
1450,print,"https://api.nga.gov/iiif/61eb4bb5-9ccd-4b37-86ff-e62357c25a38/full/!200,200/0/default.jpg",1600,"(209, 195, 172)","(214, 201, 177), (90, 78, 68), (113, 102, 89), (134, 122, 106), (124, 110, 84)"
1450,print,"https://api.nga.gov/iiif/db6738c9-bfdb-44f1-82b4-a42c45df90c1/full/!200,200/0/default.jpg",1400,"(188, 163, 126)","(193, 166, 129), (104, 79, 48), (112, 94, 75), (109, 122, 113), (250, 248, 221)"
1450,print,"https://api.nga.gov/iiif/3ae77b8a-f470-49ff-8870-3586766a4380/full/!200,200/0/default.jpg",1400,"(216, 200, 174)","(219, 202, 177), (112, 98, 82), (160, 144, 122), (141, 125, 99), (132, 124, 108)"
1450,drawing,"https://api.nga.gov/iiif/0f6baa1e-3f8b-44f6-acca-cfd740b10cca/full/!200,200/0/default.jpg",1500,"(133, 122, 105)","(134, 123, 107), (217, 203, 178), (70, 63, 55), (196, 188, 165), (193, 179, 164)"
1450,print,"https://api.nga.gov/iiif/343cded7-2249-47b1-8ea2-7beb9aeea316/full/!200,200/0/default.jpg",1400,"(186, 161, 114)","(177, 142, 100), (250, 243, 215), (235, 208, 157), (94, 90, 55), (174, 73, 38)"
1450,photograph,"https://api.nga.gov/iiif/dc95f89b-8065-4ed8-b32a-5244f52c7a79/full/!200,200/0/default.jpg",1700,"(91, 58, 41)","(92, 58, 42), (210, 179, 141), (124, 84, 69), (124, 92, 68), (134, 104, 85)"
1450,print,"https://api.nga.gov/iiif/c4a21d9e-29a2-40dc-883b-049788a2af4f/full/!200,200/0/default.jpg",1400,"(222, 204, 179)","(222, 203, 178), (99, 82, 66), (146, 127, 106), (127, 109, 83), (123, 109, 94)"
1450,print,"https://api.nga.gov/iiif/82f4aab8-39f4-48b6-9746-bfb6cd213833/full/!200,200/0/default.jpg",1600,"(186, 166, 138)","(170, 150, 124), (83, 70, 54), (109, 91, 72), (226, 207, 177), (121, 100, 68)"
1450,print,"https://api.nga.gov/iiif/9ebb00e4-5fbe-453d-88e6-18ee788d9d9e/full/!200,200/0/default.jpg",1400,"(92, 73, 53)","(92, 73, 53), (215, 192, 165), (161, 129, 94), (178, 157, 128), (168, 148, 132)"
1450,sculpture,"https://api.nga.gov/iiif/4b374346-a52b-4aa3-bbd2-8650c255f51f/full/!200,200/0/default.jpg",1400,"(36, 32, 27)","(36, 32, 27), (179, 166, 152), (120, 107, 93), (148, 140, 124), (143, 132, 124)"
1450,drawing,"https://api.nga.gov/iiif/57970568-f5a4-40ef-a653-ea54703e4c69/full/!200,200/0/default.jpg",1400,"(180, 146, 108)","(188, 156, 120), (54, 65, 63), (100, 101, 79), (99, 65, 44), (116, 81, 43)"
1450,print,"https://api.nga.gov/iiif/e1640271-22bb-4470-a971-9a078a89146a/full/!200,200/0/default.jpg",1400,"(113, 99, 84)","(113, 98, 84), (248, 239, 212), (205, 186, 157), (180, 163, 137), (180, 164, 164)"
1450,painting,"https://api.nga.gov/iiif/b3d77492-d5e2-4b6e-92a7-54354e81332b/full/!200,200/0/default.jpg",1800,"(82, 87, 83)","(80, 85, 82), (180, 155, 149), (147, 132, 123), (156, 169, 157), (156, 146, 150)"
1450,print,"https://api.nga.gov/iiif/31aa4684-a656-45f7-8f97-aa5949f91a20/full/!200,200/0/default.jpg",1400,"(232, 215, 184)","(234, 217, 187), (124, 108, 87), (175, 157, 130), (158, 140, 108), (148, 140, 116)"
1450,print,"https://api.nga.gov/iiif/99a1878a-ae02-470f-a1d9-88f305bbc384/full/!200,200/0/default.jpg",1400,"(205, 188, 163)","(208, 191, 166), (95, 83, 71), (143, 129, 112), (120, 110, 97), (124, 109, 83)"
1450,sculpture,"https://api.nga.gov/iiif/0543c934-8ac6-408e-9187-05db28f9921e/full/!200,200/0/default.jpg",1400,"(118, 102, 91)","(117, 101, 89), (4, 4, 4), (193, 177, 168), (168, 155, 148), (171, 164, 155)"
1450,print,"https://api.nga.gov/iiif/122cc71d-a688-4511-80cc-4d692f37e767/full/!200,200/0/default.jpg",1400,"(151, 140, 129)","(152, 141, 130), (239, 230, 215), (70, 60, 53), (84, 76, 69), (84, 76, 60)"
1450,print,"https://api.nga.gov/iiif/dc784bd6-3240-4ea3-8fc0-862de80df37f/full/!200,200/0/default.jpg",1700,"(221, 205, 189)","(220, 204, 188), (88, 86, 79), (119, 112, 104), (146, 138, 128), (132, 124, 108)"
1450,print,"https://api.nga.gov/iiif/f321e638-b3ed-440d-a01a-513dab768e5b/full/!200,200/0/default.jpg",1700,"(222, 204, 179)","(222, 204, 179), (84, 81, 70), (154, 146, 127), (132, 116, 102), (138, 125, 100)"
1450,print,"https://api.nga.gov/iiif/70eb91e9-8b2a-4d63-9ee8-c428c87feb4b/full/!200,200/0/default.jpg",1800,"(231, 201, 163)","(232, 202, 164), (170, 145, 112), (199, 173, 138), (190, 164, 124), (188, 156, 122)"
1450,sculpture,"https://api.nga.gov/iiif/f11f1c73-c42b-49c6-b701-b12ca56e7b48/full/!200,200/0/default.jpg",1400,"(43, 42, 37)","(43, 41, 37), (127, 122, 109), (166, 161, 147), (146, 148, 130), (148, 140, 140)"
1450,sculpture,"https://api.nga.gov/iiif/d092b17f-3b60-457a-ac39-900765fa8091/full/!200,200/0/default.jpg",1400,"(44, 36, 26)","(44, 36, 25), (107, 89, 68), (142, 125, 104), (124, 118, 100), (90, 85, 76)"
1450,painting,"https://api.nga.gov/iiif/d40b39f2-306d-48ca-8e14-10562e99c3e7/full/!200,200/0/default.jpg",1500,"(53, 72, 34)","(52, 72, 33), (221, 164, 134), (90, 132, 60), (133, 72, 31), (148, 116, 92)"
1450,sculpture,"https://api.nga.gov/iiif/683143de-1821-45a3-96c0-76aee1be6dd8/full/!200,200/0/default.jpg",1400,"(40, 38, 34)","(40, 38, 34), (121, 112, 102), (90, 82, 73), (100, 100, 90), (99, 92, 92)"
1450,print,"https://api.nga.gov/iiif/089590df-9872-423b-8687-bfc8a7b8c7a3/full/!200,200/0/default.jpg",1600,"(243, 231, 208)","(243, 230, 207), (101, 86, 66), (157, 139, 101), (174, 158, 132), (148, 137, 118)"
1450,print,"https://api.nga.gov/iiif/6aa783ad-2fc5-4da8-9bfa-fdf360d9f851/full/!200,200/0/default.jpg",1800,"(186, 168, 145)","(204, 186, 164), (86, 72, 54), (121, 104, 81), (141, 123, 100), (124, 108, 92)"
1450,print,"https://api.nga.gov/iiif/dc8c291b-b41f-40e2-9010-332b92d87c46/full/!200,200/0/default.jpg",1800,"(249, 234, 210)","(250, 234, 210), (135, 119, 92), (204, 178, 108), (188, 172, 147), (156, 156, 140)"
