beginyear,medium,imageurl
1847,painting,"https://api.nga.gov/iiif/adc53042-a6c8-4e13-aa04-e06eee194f50/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/3c1508e9-9540-4ee5-8b74-53d15ac8be27/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/6d9ac4fc-c99f-418a-800e-0f0ebd0be36f/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ec1d8272-6c01-41ac-8768-e2712398f065/full/!200,200/0/default.jpg"
1875,painting,"https://api.nga.gov/iiif/66525870-5e57-46db-83ef-f9376f9a8949/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/96c9561e-e423-4ec0-969e-ddd8479bb7e4/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/964401f2-85b1-47f9-8352-1200aa2610b1/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/c5bd3424-cd10-4851-b171-8d65cf94b4ec/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/e9f5fd32-a8d9-41ce-aba7-53712ce7b252/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/9516feae-fcd3-44ff-9e93-fc9fa39ad063/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/72a07618-7016-49fd-86bd-46792835b842/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/f4c1a14d-a826-4b05-ba30-846503425393/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/0ee4ce32-e06d-463a-9c37-a1390168525e/full/!200,200/0/default.jpg"
1847,painting,"https://api.nga.gov/iiif/9c3e4621-c4b2-418e-80b9-10597ffb6b1f/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/0bdddddc-a323-44c0-a46c-61b6e910d35c/full/!200,200/0/default.jpg"
1865,painting,"https://api.nga.gov/iiif/08f3f26d-bca4-46a6-8df8-d5572d944eb4/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/68734012-935b-4be9-9ece-69dcb4561583/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/35c2b45f-16cd-4f3d-adae-b5e65fe51290/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/59a6d410-ee64-4724-94a5-0aaddf8802d0/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/95cea25c-e880-4054-bc81-15ea37a5eb8a/full/!200,200/0/default.jpg"
1475,painting,"https://api.nga.gov/iiif/ce0ccbec-f4e6-4d7e-af41-e0b568f726eb/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/964401f2-85b1-47f9-8352-1200aa2610b1/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/48f54fb5-c87b-404d-a3e1-faaabcbc618f/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/d3dbb5b9-0b71-4b7d-8ad2-18fcfdf06757/full/!200,200/0/default.jpg"
1825,painting,"https://api.nga.gov/iiif/71cb47a7-af14-40f9-acbe-864809a8861b/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/c287ab96-1e07-4f0e-a607-2fd184c09148/full/!200,200/0/default.jpg"
1475,painting,"https://api.nga.gov/iiif/bfb0a807-b4bd-467a-b4ab-532d8898057b/full/!200,200/0/default.jpg"
1834,painting,"https://api.nga.gov/iiif/e69c25bb-f772-4ac2-966f-2954eb420a84/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/922237fa-8c07-4f93-ad65-460bf2d11bac/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/1df1e604-3a6a-4427-a6a0-9f16a58581b3/full/!200,200/0/default.jpg"
1833,painting,"https://api.nga.gov/iiif/9ec1c7a5-90cb-42cb-99d3-aa158dd5645c/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/0a590881-f637-4337-ab55-6c0c2cf8eb98/full/!200,200/0/default.jpg"
1860,painting,"https://api.nga.gov/iiif/99734bba-2a60-4f2f-8068-4aa0042b8708/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/3e054547-2cc5-4b32-8121-7c81aa3f1af9/full/!200,200/0/default.jpg"
1470,painting,"https://api.nga.gov/iiif/629fa856-d29d-4c59-9563-99c7a3a71200/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/121782f7-b1ac-424a-bc3a-46822d5184c8/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/084450ec-ad00-4c87-8509-66df3dce8cb2/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/01852133-3a3d-4327-8a54-95341f53cff6/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/573d1ac1-e80b-4e91-baa7-230827c48a4e/full/!200,200/0/default.jpg"
1782,painting,"https://api.nga.gov/iiif/b1c9dab9-1821-447a-b3d6-032cd2b9ae43/full/!200,200/0/default.jpg"
1880,painting,"https://api.nga.gov/iiif/5f1d5f48-8378-47b8-bea6-af40486aac4f/full/!200,200/0/default.jpg"
1855,painting,"https://api.nga.gov/iiif/a838bd3e-6ae0-4707-af04-4b2dffa0af10/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/376bfff9-e255-478b-b05d-c4047ab07905/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/d906bf7b-79e1-4c8a-adeb-6cdcf2287f28/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/82c27626-c929-479b-81de-d8f5c29a1a9f/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ec0a9865-44a2-4560-b1b2-d86299be150c/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/81e40269-c743-4ff3-bffe-0930c374bfce/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/fd38185b-00f5-4fa9-9d12-426c11e445c6/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/c287ab96-1e07-4f0e-a607-2fd184c09148/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/c287ab96-1e07-4f0e-a607-2fd184c09148/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/351e720e-3da7-447a-b90a-1746ee6418d1/full/!200,200/0/default.jpg"
1520,painting,"https://api.nga.gov/iiif/c6b102a4-3e42-41bf-9077-6ea12968b04b/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/60707766-2bf0-4380-a186-bd2c74ea2b4d/full/!200,200/0/default.jpg"
1800,painting,"https://api.nga.gov/iiif/428f2792-94ec-4fcd-80c5-ff2ec20cb376/full/!200,200/0/default.jpg"
1874,painting,"https://api.nga.gov/iiif/a0d45209-46bf-49c4-a6ba-8c0a1e1ea482/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/68734012-935b-4be9-9ece-69dcb4561583/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/0bdddddc-a323-44c0-a46c-61b6e910d35c/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/bda1b922-dcbe-424b-a5f8-ef1425bf0b62/full/!200,200/0/default.jpg"
1790,painting,"https://api.nga.gov/iiif/7577f7b6-9c92-4cc7-84d1-6d7671db2a74/full/!200,200/0/default.jpg"
1775,painting,"https://api.nga.gov/iiif/58bb370c-3b6c-4934-8ada-0e153f238161/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/8aa9f97e-ab5f-4d0e-aa9c-248784f7df58/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/04e094c1-89c8-47eb-967b-639bbaf342b9/full/!200,200/0/default.jpg"
1640,painting,"https://api.nga.gov/iiif/029397e9-0b99-45a8-bbf1-6fc6a0275b80/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/a3481409-f18f-4c6a-9ff6-972ad10cd13a/full/!200,200/0/default.jpg"
1825,painting,"https://api.nga.gov/iiif/026ad15b-3ac2-4665-b7ff-58c7a32264cc/full/!200,200/0/default.jpg"
1850,painting,"https://api.nga.gov/iiif/93d635dc-374b-4205-a41c-0bde5c40e927/full/!200,200/0/default.jpg"
1900,painting,"https://api.nga.gov/iiif/2142234c-6ff3-43c7-a026-91c90a0bb86c/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/ce143469-7dab-42a9-820f-f74775af1478/full/!200,200/0/default.jpg"
1800,painting,"https://api.nga.gov/iiif/e4aa3d6c-81d2-45bb-a8f2-fcc199b1b899/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/40657d7e-9d68-4a7a-a243-9c0a6f8f186f/full/!200,200/0/default.jpg"
1890,painting,"https://api.nga.gov/iiif/b479275a-4f8a-4702-83c2-9dcc4cbe60ce/full/!200,200/0/default.jpg"
1660,painting,"https://api.nga.gov/iiif/bfc54c5f-a5ea-4aca-9e8e-e2ff169c48b5/full/!200,200/0/default.jpg"
1889,painting,"https://api.nga.gov/iiif/1e92536c-e274-4c31-bbe9-cdb6aba6c162/full/!200,200/0/default.jpg"
1880,painting,"https://api.nga.gov/iiif/5bfb4c45-feb8-4dbb-8b77-519c0560dcaf/full/!200,200/0/default.jpg"
1790,painting,"https://api.nga.gov/iiif/b5a25512-bc7d-449c-ba5b-fd091ae27ec0/full/!200,200/0/default.jpg"
1835,painting,"https://api.nga.gov/iiif/c1e33e8d-ffe4-4d20-a267-87ffcf94f7ce/full/!200,200/0/default.jpg"
1845,painting,"https://api.nga.gov/iiif/5696d62f-d456-4db1-88bc-5b50318a5a70/full/!200,200/0/default.jpg"
1850,painting,"https://api.nga.gov/iiif/e7c01642-850e-45fa-9113-7c5613029220/full/!200,200/0/default.jpg"
1872,painting,"https://api.nga.gov/iiif/56303f18-6101-4d5d-9b03-20b58d657afa/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/943d741c-be4d-418b-85ad-3b6628aa0a4c/full/!200,200/0/default.jpg"
1869,painting,"https://api.nga.gov/iiif/2430a030-7bcd-4433-a59e-91cfc9ead186/full/!200,200/0/default.jpg"
1847,painting,"https://api.nga.gov/iiif/5dcfca3b-fa26-4952-b018-8cec2602a997/full/!200,200/0/default.jpg"
1810,painting,"https://api.nga.gov/iiif/00929f5a-c00d-41ca-bb8d-3227a06ffd02/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/0a9e2730-388a-43c6-8713-e61f766e2f92/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/ae4ebe90-eed0-47be-bbc3-c4d191ceaf2c/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/28ed06ee-6d28-4843-a9b8-7bd0cae5cdd0/full/!200,200/0/default.jpg"
