beginyear,hex_color,imageurl
1409,#d8b484,"https://api.nga.gov/iiif/f8cf38b8-2a34-49e6-8f13-40e8f6bc451b/full/!200,200/0/default.jpg"
1403,#c0ac50,"https://api.nga.gov/iiif/4a1a0e83-4e1d-4210-a0f3-28d29a488caa/full/!200,200/0/default.jpg"
1405,#c8b488,"https://api.nga.gov/iiif/0d686d03-d844-4dac-9603-c5f8e2c99a08/full/!200,200/0/default.jpg"
1408,#c874b0,"https://api.nga.gov/iiif/1d4e2f94-053e-4d3e-8b20-426c77b919fd/full/!200,200/0/default.jpg"
1450,#b8b440,"https://api.nga.gov/iiif/d36aaf9c-66cf-4192-9288-8bc4a6075294/full/!200,200/0/default.jpg"
1458,#ccb494,"https://api.nga.gov/iiif/e226f6a9-029a-4c53-908d-cbb8d547cb8f/full/!200,200/0/default.jpg"
1471,#9044a8,"https://api.nga.gov/iiif/3144f62c-ea25-4111-8ee7-9fed73582be2/full/!200,200/0/default.jpg"
1456,#b67c64,"https://api.nga.gov/iiif/9249dbf6-2ea3-4820-a861-f8169a84099e/full/!200,200/0/default.jpg"
1485,#ac6c32,"https://api.nga.gov/iiif/8a855588-b923-4905-98eb-b177f866f6f9/full/!200,200/0/default.jpg"
1445,#b4a44c,"https://api.nga.gov/iiif/267e72b8-76df-4638-9427-b9b196e244b5/full/!200,200/0/default.jpg"
1447,#b8ac5c,"https://api.nga.gov/iiif/a4fd0e4c-b90f-439e-ac63-203cab5dcae6/full/!200,200/0/default.jpg"
1402,#c17984,"https://api.nga.gov/iiif/65b766e0-5aee-47b6-801c-fa305a1eed88/full/!200,200/0/default.jpg"
1478,#80b858,"https://api.nga.gov/iiif/e5e81299-474d-433c-83b1-f9a2392fd4ee/full/!200,200/0/default.jpg"
1465,#754d27,"https://api.nga.gov/iiif/8f29e3c9-a289-4d53-abf0-31a66e9e98fa/full/!200,200/0/default.jpg"
1432,#cc9045,"https://api.nga.gov/iiif/c58f2b19-cf6e-4dce-8101-99f5e62de6ce/full/!200,200/0/default.jpg"
1444,#a838a4,"https://api.nga.gov/iiif/89181739-eec7-406e-b077-0835d9d9173a/full/!200,200/0/default.jpg"
1492,#c4a484,"https://api.nga.gov/iiif/a0b7c2d2-1a71-436d-9c3f-dd3cf5217b6d/full/!200,200/0/default.jpg"
1438,#c86458,"https://api.nga.gov/iiif/248f9e85-6a6d-4412-ab26-917fd4d485fc/full/!200,200/0/default.jpg"
1434,#b0834b,"https://api.nga.gov/iiif/130bd7f0-ba6e-4cc8-b0c7-58f06c4a9f85/full/!200,200/0/default.jpg"
1418,#ac644c,"https://api.nga.gov/iiif/31f81aff-1e03-4127-96bf-31c3a5741b13/full/!200,200/0/default.jpg"
1428,#bc2020,"https://api.nga.gov/iiif/00e14711-2ba2-4461-8aea-b0d1b90f96d8/full/!200,200/0/default.jpg"
1446,#c8a058,"https://api.nga.gov/iiif/7021acd6-ebd8-4e7c-8b50-93b2c57ac43b/full/!200,200/0/default.jpg"
1484,#b85044,"https://api.nga.gov/iiif/f7ed62a4-80c3-47fd-9bfb-019a4b601265/full/!200,200/0/default.jpg"
1428,#e4b864,"https://api.nga.gov/iiif/8778b65a-43c5-4fac-b14d-42925b7e1638/full/!200,200/0/default.jpg"
1453,#9c3084,"https://api.nga.gov/iiif/f31416b7-d9e3-4b1f-bf23-b542265b4dff/full/!200,200/0/default.jpg"
1415,#bf9a72,"https://api.nga.gov/iiif/fbfe4285-4149-42e9-ab0a-047777504081/full/!200,200/0/default.jpg"
1422,#6cd0c4,"https://api.nga.gov/iiif/cf8c5ba9-7472-4a01-b8a9-6ea5d3be1ee6/full/!200,200/0/default.jpg"
1475,#c4a47c,"https://api.nga.gov/iiif/c52730ee-b6ff-4e95-a7c1-168bdebbd234/full/!200,200/0/default.jpg"
1420,#783c98,"https://api.nga.gov/iiif/83b26097-e0b5-4999-b1fd-537014523220/full/!200,200/0/default.jpg"
1468,#54ac44,"https://api.nga.gov/iiif/e94af67c-1113-45d6-b5a8-8f3f8979b0bd/full/!200,200/0/default.jpg"
1497,#ccb494,"https://api.nga.gov/iiif/a2abc565-b022-4809-a18e-e0f9122e92ce/full/!200,200/0/default.jpg"
1429,#b84c8c,"https://api.nga.gov/iiif/abfe0d20-980c-4001-939c-fa2a888fecbc/full/!200,200/0/default.jpg"
1464,#b8604c,"https://api.nga.gov/iiif/cb06ff95-1474-4fd9-86fa-84f28c2335dd/full/!200,200/0/default.jpg"
1431,#dc8156,"https://api.nga.gov/iiif/1f642ced-bf61-4158-828c-0eeccfc151fd/full/!200,200/0/default.jpg"
1473,#ac9838,"https://api.nga.gov/iiif/1dd10058-fb2c-4d1c-80a2-b06132973303/full/!200,200/0/default.jpg"
1493,#68bcac,"https://api.nga.gov/iiif/699cafed-d5ee-4eca-aa56-d5aac51a3463/full/!200,200/0/default.jpg"
1433,#d4be90,"https://api.nga.gov/iiif/f5aa214d-a1de-4d97-8f24-d004489f77b2/full/!200,200/0/default.jpg"
1423,#ccb494,"https://api.nga.gov/iiif/2e034e0d-30d8-40c7-9d31-c65c0a2565d0/full/!200,200/0/default.jpg"
1470,#e0c06c,"https://api.nga.gov/iiif/6df103d6-3ccf-4a37-b197-05cb6a253793/full/!200,200/0/default.jpg"
1446,#ac4884,"https://api.nga.gov/iiif/a4959709-5876-4ee6-9d48-fce6238a2802/full/!200,200/0/default.jpg"
1491,#c4584c,"https://api.nga.gov/iiif/136cfacc-c5a3-4b56-8db1-a8b09fc704e9/full/!200,200/0/default.jpg"
1402,#a8ac50,"https://api.nga.gov/iiif/2c8591ef-1389-4821-98f7-92d1cf818d7d/full/!200,200/0/default.jpg"
1416,#c4a00c,"https://api.nga.gov/iiif/b9fd79d2-e04f-40ff-8363-a82e4d5c6440/full/!200,200/0/default.jpg"
1440,#7c5a34,"https://api.nga.gov/iiif/d37ea8b5-76c6-4938-87b4-ab5ae0e1532d/full/!200,200/0/default.jpg"
1428,#cc7c47,"https://api.nga.gov/iiif/2f2b5198-1116-4cad-8c1d-868641b7247a/full/!200,200/0/default.jpg"
