beginyear,vibrant,LightVibrant,closest_color,Muted,LightMuted,DarkMuted,Image URL
1445,#f0b445,#f7ce61,#cb7f16,#547690,#bd9c7b,#3c4c4c,"https://api.nga.gov/iiif/ccb186ea-d5ac-44e1-966c-766dc0a4f023/full/!200,200/0/default.jpg"
1445,#c98e49,#c49f6a,#744c24,#af7c5b,#c8b28f,#755c3e,"https://api.nga.gov/iiif/8dc653bf-8726-4b9f-8a48-5f7ef1f127d6/full/!200,200/0/default.jpg"
1445,#9c401c,,#9c401c,,,,"https://api.nga.gov/iiif/0cd7a155-9488-443e-9866-66a5fe3fb258/full/!200,200/0/default.jpg"
1445,#ae7052,#cd9f8e,#6b4131,#a67260,#d3c3b1,#3e3023,"https://api.nga.gov/iiif/4de6830b-c1f3-4508-a360-bfcd9e441904/full/!200,200/0/default.jpg"
1445,#b38d5b,#cca790,#0d4951,#847f62,#c4a494,#31504c,"https://api.nga.gov/iiif/1f05b2cc-132c-47a9-9dec-f93d85e608be/full/!200,200/0/default.jpg"
1445,#b4644c,,#b4644c,,,,"https://api.nga.gov/iiif/4ffee5bd-7630-4386-9df0-768d980a8b86/full/!200,200/0/default.jpg"
1445,#8c5440,,#8c5440,,,,"https://api.nga.gov/iiif/6f6f7b9a-07f9-4e6b-98bb-d02caaf238da/full/!200,200/0/default.jpg"
1450,#a16a3c,#dab064,#7a4014,#a07e4c,#bcb39a,#604d2f,"https://api.nga.gov/iiif/851eaa44-5707-44d8-910e-42c41c557110/full/!200,200/0/default.jpg"
1450,#994345,#cba684,#692429,#997356,#a8b5a8,#432e1f,"https://api.nga.gov/iiif/a21cc457-7ddf-4c4d-9934-8039bc919864/full/!200,200/0/default.jpg"
1450,#785135,,#785135,,,,"https://api.nga.gov/iiif/23e1898b-a329-460e-a791-c69663f7539d/full/!200,200/0/default.jpg"
1450,#c64411,#e5c688,#5a3b13,#9a874d,#ccba8f,#655939,"https://api.nga.gov/iiif/45fa82c0-494f-489b-9062-9b62c842008c/full/!200,200/0/default.jpg"
1450,#b88148,#e4944c,#573c29,#a48454,#c4bcb4,#344949,"https://api.nga.gov/iiif/c0f9cd21-9d15-4ba2-b3cc-c88759af9488/full/!200,200/0/default.jpg"
1450,#e61804,,#e61804,,,,"https://api.nga.gov/iiif/c215e277-6a1a-4b25-8d0a-2bfa4db13d6a/full/!200,200/0/default.jpg"
