Object id,beginyear,medium,imageurl,hex_color
43861,15th century,1400,"https://api.nga.gov/iiif/23136043-79a3-4a09-b845-41e410634171/full/!200,200/0/default.jpg","33, 26, 22"
43862,15th century,1400,"https://api.nga.gov/iiif/33d54570-4c41-49e9-b125-45c56fa4b892/full/!200,200/0/default.jpg","72, 61, 47"
43865,15th century,1400,"https://api.nga.gov/iiif/44fef87b-a334-445e-9ac3-c9dfafb6ef92/full/!200,200/0/default.jpg","41, 40, 33"
43866,15th century,1400,"https://api.nga.gov/iiif/a2bf1775-9a5a-48f5-ad48-c944a0dde229/full/!200,200/0/default.jpg","38, 38, 32"
43871,15th century,1400,"https://api.nga.gov/iiif/8700ee1c-49cf-4f9b-967c-e8aa7c1444e7/full/!200,200/0/default.jpg","69, 55, 42"
43872,15th or 16th century,1400,"https://api.nga.gov/iiif/12f5b9ab-f032-4cf5-b95d-77d4ba71976c/full/!200,200/0/default.jpg","52, 38, 29"
43873,15th century,1400,"https://api.nga.gov/iiif/8a7ba3df-992a-4a26-83e0-d8b60bb363a8/full/!200,200/0/default.jpg","42, 38, 32"
43876,15th century,1400,"https://api.nga.gov/iiif/84d70ddf-1c92-452a-8d1e-0b3604e2f4b5/full/!200,200/0/default.jpg","44, 39, 34"
43877,15th century,1400,"https://api.nga.gov/iiif/06070b90-905a-4555-95f8-c86f4e80c111/full/!200,200/0/default.jpg","38, 32, 22"
43878,15th century,1400,"https://api.nga.gov/iiif/175d0f21-1153-4c81-8dd1-0511234d8fcd/full/!200,200/0/default.jpg","42, 31, 23"
43881,15th or 16th century,1400,"https://api.nga.gov/iiif/e2ce1c45-c70d-4a4a-a060-3aa2c1a67d4c/full/!200,200/0/default.jpg","60, 51, 44"
43884,15th century,1400,"https://api.nga.gov/iiif/000ad93e-318b-4160-a8f2-b0ea48a82f20/full/!200,200/0/default.jpg","46, 39, 33"
43890,15th century,1400,"https://api.nga.gov/iiif/b4121422-527d-460d-ba8a-e03cc291ebdc/full/!200,200/0/default.jpg","68, 55, 39"
43893,15th century,1400,"https://api.nga.gov/iiif/210de0ce-3840-4ca8-83cf-d4545eb36f68/full/!200,200/0/default.jpg","52, 43, 31"
43894,15th century,1400,"https://api.nga.gov/iiif/e94ba103-02a9-4a59-bcc9-1a185261970c/full/!200,200/0/default.jpg","93, 68, 33"
43895,15th century,1400,"https://api.nga.gov/iiif/56890ebe-1a0a-4f7a-84f3-558376bf5c9e/full/!200,200/0/default.jpg","48, 38, 28"
43897,15th or 16th century,1400,"https://api.nga.gov/iiif/b4b3eb8e-c938-4c28-96f9-9be68354c0bb/full/!200,200/0/default.jpg","67, 50, 38"
43898,15th century,1400,"https://api.nga.gov/iiif/24eb8d93-1c92-42d7-a858-9faedef67135/full/!200,200/0/default.jpg","49, 45, 41"
43929,15th century,1400,"https://api.nga.gov/iiif/873e7d33-5d70-4d1c-aab9-f26a22b605d7/full/!200,200/0/default.jpg","79, 74, 59"
43930,15th century,1400,"https://api.nga.gov/iiif/9a6fe208-a4ca-4599-9f59-b8f0a41706f6/full/!200,200/0/default.jpg","57, 49, 40"
44081,15th century,1400,"https://api.nga.gov/iiif/94758c05-4834-475b-bc62-d69d9743b9d1/full/!200,200/0/default.jpg","50, 45, 37"
44082,,1400,"https://api.nga.gov/iiif/a2d172fb-d478-400e-beab-ebf07a72a862/full/!200,200/0/default.jpg","51, 41, 33"
44084,15th century,1400,"https://api.nga.gov/iiif/31806fd4-1ebf-41b2-bdb5-6bbc49942f89/full/!200,200/0/default.jpg","49, 38, 27"
44085,15th century,1400,"https://api.nga.gov/iiif/12099f6d-a2cf-4617-b55d-65e4dfa14611/full/!200,200/0/default.jpg","52, 42, 32"
44086,15th century,1400,"https://api.nga.gov/iiif/fb3bb4d7-a62f-467d-b91c-4d65ddca2548/full/!200,200/0/default.jpg","65, 49, 35"
44087,15th century,1400,"https://api.nga.gov/iiif/21456ee0-c741-49a4-95ab-fada3bdcd18e/full/!200,200/0/default.jpg","56, 45, 33"
44088,15th century,1400,"https://api.nga.gov/iiif/818da59d-1f60-4eca-8228-be04a218563c/full/!200,200/0/default.jpg","35, 29, 23"
44095,15th century,1400,"https://api.nga.gov/iiif/305caa04-ea03-448b-aa5e-5ce7499c02c1/full/!200,200/0/default.jpg","44, 34, 29"
44096,15th century,1400,"https://api.nga.gov/iiif/47b28845-d446-47df-9a9c-b49a26381f4e/full/!200,200/0/default.jpg","58, 44, 29"
44098,15th century,1400,"https://api.nga.gov/iiif/f50492bb-bccd-4dd3-a9e6-177330871697/full/!200,200/0/default.jpg","55, 46, 39"
44102,15th century,1400,"https://api.nga.gov/iiif/743263f9-86d3-4416-b4f0-2360bfca5283/full/!200,200/0/default.jpg","48, 43, 33"
44119,15th century,1400,"https://api.nga.gov/iiif/7c0e82d8-1947-47a3-aece-b8b6a75f5157/full/!200,200/0/default.jpg","28, 23, 19"
44122,15th century,1400,"https://api.nga.gov/iiif/6c329c53-8af2-4fe5-ae42-29379275e86b/full/!200,200/0/default.jpg","68, 58, 48"
44123,15th century,1400,"https://api.nga.gov/iiif/37a9504f-dffd-4eac-8e9a-2481291d06b6/full/!200,200/0/default.jpg","50, 43, 32"
44124,15th century,1400,"https://api.nga.gov/iiif/46baab2c-74e3-47c4-b6c0-836dbd5d6079/full/!200,200/0/default.jpg","40, 32, 25"
44125,15th century,1400,"https://api.nga.gov/iiif/a2ec2668-ffb5-43c6-bd76-497b96aa7455/full/!200,200/0/default.jpg","35, 32, 26"
44126,15th century,1400,"https://api.nga.gov/iiif/29e0ad1a-d248-476c-8d0d-d92fb6ad8470/full/!200,200/0/default.jpg","36, 31, 26"
44128,15th or early 16th century,1400,"https://api.nga.gov/iiif/16d7257c-9ee8-4d79-abcc-4d71a141339a/full/!200,200/0/default.jpg","34, 25, 20"
44129,15th century,1400,"https://api.nga.gov/iiif/28719537-51b0-4b64-a940-7509e9242aca/full/!200,200/0/default.jpg","34, 35, 29"
44130,15th century,1400,"https://api.nga.gov/iiif/82536ad4-0a0d-45d3-9dbd-0563e7b511fe/full/!200,200/0/default.jpg","49, 40, 30"
44131,15th century,1400,"https://api.nga.gov/iiif/5eaa641b-d3f3-4ed8-81a3-24e91a184aef/full/!200,200/0/default.jpg","60, 48, 38"
44132,15th century,1400,"https://api.nga.gov/iiif/a596d39d-aca3-4141-ae08-1331155faba2/full/!200,200/0/default.jpg","79, 61, 41"
44278,15th century,1400,"https://api.nga.gov/iiif/b47baeac-e16c-4121-bba0-ea458f1fe386/full/!200,200/0/default.jpg","61, 47, 35"
44279,15th century,1400,"https://api.nga.gov/iiif/7a23de92-e4fd-4980-a2ef-b4d6f45b9514/full/!200,200/0/default.jpg","32, 29, 24"
45449,15th century,1400,"https://api.nga.gov/iiif/0059d1d1-cdeb-453d-9d69-d3ba174f9986/full/!200,200/0/default.jpg","81, 58, 29"
45450,15th century,1400,"https://api.nga.gov/iiif/102abb9b-e786-4466-8bc0-16a6815012bf/full/!200,200/0/default.jpg","78, 55, 27"
45475,15th century,1400,"https://api.nga.gov/iiif/5cff686c-39d9-49f2-956a-fd3e82711f97/full/!200,200/0/default.jpg","87, 62, 27"
45476,15th century,1400,"https://api.nga.gov/iiif/3a0f182e-8aa1-46d5-9139-169b933d7431/full/!200,200/0/default.jpg","83, 60, 27"
45477,15th century,1400,"https://api.nga.gov/iiif/c2dd513b-923b-4462-b938-f0b8ae488438/full/!200,200/0/default.jpg","72, 49, 33"
45478,15th century,1400,"https://api.nga.gov/iiif/bec571b2-3646-44ed-ae9d-e34efd99c3f0/full/!200,200/0/default.jpg","74, 48, 31"
45481,15th or 16th century,1400,"https://api.nga.gov/iiif/4a91909b-7423-4ab6-82ba-aeb23a0320f0/full/!200,200/0/default.jpg","83, 59, 27"
45482,15th or 16th century,1400,"https://api.nga.gov/iiif/88df6a6b-3f2a-41c1-8ef7-8c186c02cca7/full/!200,200/0/default.jpg","81, 57, 27"
45487,15th century,1400,"https://api.nga.gov/iiif/8f27f89f-7da3-4c1c-aa82-4cd95b94c30f/full/!200,200/0/default.jpg","51, 33, 24"
45488,15th century,1400,"https://api.nga.gov/iiif/72ef63c5-a3c6-4e5c-839f-2f87d5a06684/full/!200,200/0/default.jpg","41, 25, 17"
45491,15th century,1400,"https://api.nga.gov/iiif/3a538c6d-adea-420f-bbcc-b241c54384a3/full/!200,200/0/default.jpg","48, 40, 35"
45492,15th century,1400,"https://api.nga.gov/iiif/12c6529d-7ec1-4f9d-9071-dab2cb80f26a/full/!200,200/0/default.jpg","56, 49, 43"
45493,15th century,1400,"https://api.nga.gov/iiif/f86a11e9-3dd4-4c54-8dd4-6ba28465643e/full/!200,200/0/default.jpg","47, 40, 34"
45494,15th century,1400,"https://api.nga.gov/iiif/2d771805-355a-415f-bbe1-de2975d5cc3d/full/!200,200/0/default.jpg","55, 46, 40"
