year,color
1564,#a84444
1564,#c0893e
1564,#d0a85c
1566,#b8609c
1566,#b0a434
1566,#845c34
1567,#d8b86c
1567,#c8b44c
1567,#b85090
1567,#edb154
1568,#b064c4
1568,#ccc848
1568,#f5d70c
1568,#c05c54
1569,#b83870
1569,#ccc054
1569,#c4a484
1570,#a87034
1570,#795c34
1570,#bc6050
1570,#b8a064
1570,#44789c
1571,#64ac4c
1572,#b8544c
1572,#a4483c
1572,#cfb795
1573,#bc8127
1573,#90c86c
1574,#bcb458
1575,#b8a448
1575,#b48c54
1575,#345981
1575,#a45c4c
1575,#b68d5c
1576,#381ce2
1576,#b46858
1576,#bc58a4
1577,#b03490
1577,#c4a47c
1577,#ccac8c
1578,#bc5850
1578,#90b45c
1579,#c05848
1579,#7c2c34
1579,#d6885c
1579,#987828
1580,#d4ac60
1580,#d08068
1580,#bc845c
1580,#34546c
1580,#b4a040
1581,#b86890
1581,#d4cc7c
1581,#4cb03c
1581,#b8d468
1582,#af7d4f
1582,#bc5450
1583,#d0bc50
1583,#b4a848
1584,#ccb494
1584,#af7b4f
1584,#c8749c
1585,#b8ac50
1585,#846830
1586,#c47464
1586,#ac4e4c
1587,#483c98
1587,#bca850
1587,#ccb490
1588,#c85c50
1588,#bc946c
1588,#b88848
1588,#cdaf82
1589,#4cb490
1589,#98c858
1589,#c4a484
1589,#90ac50
1590,#c4a474
1590,#fc5c05
1590,#b4944c
1590,#b074d8
1591,#d0a494
1591,#806834
1592,#7c2c2c
1592,#5450b8
1592,#503084
1592,#a03430
1592,#b27f4c
1593,#bc68a4
1593,#ad7a2d
1593,#a0c464
1593,#884cb0
1594,#ccb494
1594,#c068b0
1594,#ac64bc
1594,#e48d3d
1594,#bc48b4
1595,#b87468
1595,#d7a889
1595,#80449c
1596,#a058b4
1596,#941c5c
1596,#c05c40
1596,#ccc050
1596,#988048
1596,#948420
1596,#48b8ac
1597,#bb6143
1597,#d0b06c
1597,#b0bc4c
1598,#ccac74
1598,#a8c050
1599,#947044
1599,#bcb060
1599,#9fbf3f
