Year,,technical material,photograph,portfolio,volume,drawing,sculpture,new media,decorative art,painting,print
1531,,,,,,2,2,,,,9
1514,,,,,,9,2,,,1,58
1516,,,,,1,2,8,,,2,60
1462,,,,,,,8,,,,8
1638,,,,,,4,,,,2,49
1654,,,,,,4,2,,,1,38
1639,,,,,,1,2,,,,36
1641,,,,,,1,2,,,1,53
1615,,,,,1,17,2,,,3,47
1866,,,19,1,3,30,1,,,22,69
1862,,,46,2,2,31,1,,,7,103
1853,,,35,,1,4,2,,,4,42
1830,,,1,,,36,10,,4,31,66
1807,,,,,5,4,,,,2,69
1808,,13,,,3,41,,,,7,132
1811,,,,,3,12,,,,3,38
1812,,,,,,20,1,,,3,35
1816,,,,1,1,10,7,,,8,94
1819,,,1,,,15,2,,,4,34
1894,,1,158,1,,15,6,,,15,224
1865,,,73,,,94,6,,,22,40
1661,,,,,,1,4,,,3,22
1578,,,,,,8,6,,,1,12
1622,,,,,,2,1,,,4,275
1627,,,,,1,9,,,,3,53
1624,,,,,,4,7,,,3,77
1696,,,,,,8,,,,1,19
1753,,,,,,7,2,,,2,57
1752,,,,,1,24,,,,,51
1933,,,156,,3,31,8,,,15,237
1803,,,,,6,18,2,,1,7,89
1681,,,,,,2,,,,,71
1941,,1,480,,2,771,10,,,8,188
1875,,1,9,,1,37,7,,2,24,87
1868,,,19,1,1,17,2,,,11,62
1880,,,22,2,4,69,24,,,21,253
1900,,,52,2,1,147,15,,2,20,151
1885,,,14,,,39,22,,4,12,87
1904,,,35,1,2,24,4,,,6,115
1878,,1,5,1,1,33,13,,,10,99
1884,,,5,,1,762,4,,,13,85
1902,,,24,,2,21,6,,1,6,120
1899,,1,31,1,19,143,2,,,5,138
1906,,,16,,1,26,12,,,16,110
1905,,,25,1,,35,7,,,15,182
1917,,,27,,5,53,6,,,18,166
1882,,,5,,,31,6,,,21,51
1887,,,753,,,23,2,,,10,123
1850,,,73,,,40,14,,4,32,95
1909,,,24,1,,29,8,,,14,144
1840,,,4,1,,47,15,,,27,74
1908,,,19,,1,29,7,,1,15,141
1881,,,2,,2,16,5,,,12,42
1883,,,2,1,1,32,2,,,19,143
1907,,,49,,,26,1,,,13,109
1923,,,169,2,7,75,2,,,8,245
1903,,,23,,3,687,2,,,9,102
1927,,,108,1,,61,6,,,7,324
1876,,,1,,1,151,5,,,19,63
1913,,,21,,6,48,13,,,17,196
1915,,,60,1,10,65,9,,1,11,140
1920,,,107,2,27,70,6,,,11,359
1879,,1,9,,2,35,3,,,14,199
1911,,,25,1,,30,6,,,15,125
1891,,,15,,,44,8,,,17,139
1877,,,7,,1,34,4,,,15,52
