Year,Drawing,Painting,Sculpture,Photograph,Decorative Art,Print
1904,24,6,4,35,0,115
1878,33,10,13,5,0,99
1884,762,13,4,5,0,85
1902,21,6,6,24,1,120
1899,143,5,2,31,0,138
1906,26,16,12,16,0,110
1905,35,15,7,25,0,182
1917,53,18,6,27,0,166
1882,31,21,6,5,0,51
1887,23,10,2,753,0,123
1850,40,32,14,73,4,95
1909,29,14,8,24,0,144
1840,47,27,15,4,0,74
1908,29,15,7,19,1,141
1881,16,12,5,2,0,42
1883,32,19,2,2,0,143
1907,26,13,1,49,0,109
1923,75,8,2,169,0,245
1903,687,9,2,23,0,102
1927,61,7,6,108,0,324
1876,151,19,5,1,0,63
1913,48,17,13,21,0,196
1915,65,11,9,60,1,140
1920,70,11,6,107,0,359
1879,35,14,3,9,0,199
1911,30,15,6,25,0,125
1891,44,17,8,15,0,139
1877,34,15,4,7,0,52
1859,39,5,1,24,1,102
1864,25,14,1,45,0,56
1924,47,10,6,118,0,206
1926,27,14,6,82,0,229
1916,45,11,12,56,0,198
1919,59,10,3,79,1,295
1910,52,32,9,48,3,197
1912,65,20,1,66,0,209
1756,13,6,1,0,0,57
1835,29,22,4,2,0,81
1772,7,4,0,0,0,25
1849,16,5,3,10,0,133
1794,21,2,0,0,0,25
1798,18,2,0,0,0,145
1784,9,2,0,0,1,48
1824,29,7,4,3,0,28
1832,9,3,38,1,0,51
1834,13,9,2,0,0,119
1845,33,23,24,36,0,106
1828,15,6,2,0,0,36
1743,5,2,3,0,1,27
1818,8,6,2,0,0,39
1872,19,22,4,11,0,25
1871,20,8,1,17,0,103
1890,210,39,22,98,1,174
1597,10,2,1,0,0,30
1648,2,6,2,0,0,52
1662,2,1,2,0,122,35
1670,13,8,3,0,0,17
1791,12,4,0,0,0,37
1528,6,1,6,0,0,40
1792,21,3,0,0,0,23
1488,3,1,14,0,0,6
1575,288,3,16,0,2,17
1673,1,2,2,0,0,32
1493,2,1,6,0,0,6
1863,23,13,7,54,0,55
1790,49,20,0,0,0,24
1657,9,3,0,0,0,37
1634,6,4,4,0,0,128
1874,37,16,7,1,0,65
1758,15,2,0,0,0,38
1800,86,33,27,4,10,835
1628,3,2,3,0,0,108
1921,31,6,7,69,0,203
1700,85,12,37,0,16,61
1461,0,1,6,0,0,0
1716,5,1,2,0,0,5
1710,11,2,2,0,0,16
1542,2,1,5,0,0,14
1487,1,0,5,0,0,0
1574,1,0,4,0,0,5
1499,2,0,8,0,0,6
1477,0,1,13,0,0,2
1453,0,0,5,0,0,4
1446,0,0,12,0,0,0
1441,0,0,14,0,0,0
1537,2,1,15,0,0,54
1452,0,0,11,0,0,16
1398,0,1,8,0,0,0
1404,0,0,4,0,0,0
1561,6,1,15,0,0,23
1386,0,0,1,0,0,0
1573,3,0,4,0,2,8
1137,0,0,0,0,1,0
1175,2,0,0,0,1,0
1200,0,0,0,0,4,1
1150,3,0,0,0,1,0
1220,0,0,0,0,1,0
1570,15,7,14,0,1,38
1562,3,0,16,0,1,14
1590,22,5,7,0,1,92
1870,162,16,16,28,1,105
1498,2,0,11,0,2,38
1524,8,0,6,0,3,16
1526,3,0,13,0,1,21
1539,10,2,6,0,1,15
1532,3,2,11,0,4,11
1529,5,1,6,0,1,19
1466,0,0,12,0,1,5
1745,18,3,0,0,3,56
1767,10,3,2,0,2,45
1779,9,1,0,0,1,55
1764,13,7,0,0,1,53
1725,7,6,2,0,17,17
1723,4,0,0,0,15,29
1751,2,1,2,0,1,16
1675,9,7,6,0,9,10
1736,6,0,2,0,8,40
1521,6,0,5,0,0,54
1606,19,1,0,0,0,40
1652,8,2,2,0,0,62
1757,7,1,2,0,0,22
1765,29,5,1,0,0,35
1766,11,1,0,0,0,26
1769,18,2,0,0,0,27
1732,15,1,0,0,0,16
1729,12,2,2,0,0,14
1773,8,4,4,0,0,34
1797,16,1,0,0,0,104
1774,11,4,3,0,0,46
1721,3,0,0,0,0,9
1761,5,2,4,0,0,64
1719,1,1,2,0,0,32
1746,8,1,2,0,0,23
1680,8,0,8,0,0,24
1731,8,2,6,0,0,88
1788,8,7,2,0,0,35
1738,6,2,0,0,0,30
1707,0,1,0,0,0,21
1810,20,16,3,0,0,39
1801,10,3,1,0,0,62
1805,33,3,2,0,0,76
1703,3,0,2,0,0,7
1715,7,2,3,0,0,19
1768,11,1,1,0,0,32
1771,5,1,0,0,0,73
1754,47,4,1,0,0,33
1748,14,0,2,0,0,64
1763,15,1,1,0,0,62
1727,21,0,2,0,0,12
1814,12,7,3,0,0,16
1724,13,0,1,0,0,17
1852,137,7,2,31,0,132
1895,78,17,1,33,0,248
1848,15,9,10,9,0,84
1486,0,0,10,0,0,2
1914,131,9,4,53,0,165
1614,4,3,2,0,0,47
1554,6,0,17,0,0,21
1553,9,0,8,0,0,49
1533,1,0,3,0,1,5
1551,0,0,9,0,1,17
1536,0,2,4,0,1,6
1549,2,0,6,0,0,36
1552,24,1,23,0,1,24
1619,0,0,2,0,0,100
1936,4436,17,8,167,1,423
1935,3670,13,5,162,0,652
1940,1728,18,5,124,0,454
1930,85,10,13,205,0,429
1929,33,11,9,121,0,295
1509,5,2,0,0,0,80
1449,0,0,9,0,0,1
1483,4,0,3,0,0,4
1592,4,0,4,0,0,348
1494,0,0,13,0,0,3
1892,48,10,7,3,0,142
1558,3,1,4,0,0,43
1631,3,0,4,0,0,136
1922,90,12,6,156,0,299
1938,2346,12,5,190,0,287
1928,70,13,2,73,0,317
1545,5,2,8,0,0,33
1548,9,1,2,0,0,56
1889,24,13,11,13,0,136
1847,19,29,8,8,0,205
1886,21,11,3,71,0,121
1931,28,8,8,175,0,228
1934,30,14,6,132,0,256
1932,49,12,7,130,0,244
1873,18,13,1,5,0,53
1918,113,10,13,108,0,174
1937,3450,22,7,119,0,409
1584,3,0,5,0,0,9
1942,234,12,3,168,1,221
1888,29,21,3,5,0,129
1901,20,10,4,30,0,76
1939,1878,13,4,69,0,270
1651,0,1,0,0,0,86
1616,7,5,0,0,0,62
1822,11,5,3,0,0,29
1861,17,189,3,18,0,72
1809,15,2,3,0,0,117
1728,11,1,4,0,0,11
1821,25,8,2,0,0,43
1826,14,7,2,0,0,19
1854,14,93,5,57,0,69
1611,2,1,4,0,0,6
1559,4,0,8,0,0,59
1893,53,10,6,32,0,229
1630,22,9,7,0,0,106
1851,10,6,1,9,0,87
1841,14,4,7,3,0,75
1582,9,0,4,0,0,23
1831,16,8,13,0,0,59
1833,20,10,4,0,0,91
1838,14,7,6,2,0,120
1842,13,6,2,1,0,64
1839,21,6,4,2,0,78
1843,10,10,4,18,0,71
1846,5,6,6,7,0,110
1644,6,1,2,0,1,45
1714,7,0,2,0,0,5
1837,93,15,7,0,0,648
1867,41,11,4,15,0,39
1858,34,11,4,68,0,82
1836,13,5,5,0,0,111
1857,17,11,16,34,0,52
1943,109,10,6,103,0,175
1685,9,4,2,0,0,24
1702,6,0,0,0,0,23
1679,0,0,0,0,0,3
1676,2,1,2,0,0,53
1869,17,16,1,6,0,63
1747,4,2,2,0,0,20
1588,1,0,3,0,0,30
1586,3,0,0,0,0,32
1565,11,0,7,0,2,29
1595,12,1,0,0,1,38
1583,0,1,0,0,0,8
1601,6,0,6,0,0,6
1587,2,0,0,0,0,39
1596,7,1,0,0,0,63
1471,0,0,5,0,0,10
1649,3,4,0,0,0,52
1607,7,1,3,0,0,63
1643,6,0,0,0,0,56
1647,3,0,0,0,0,88
1698,7,0,2,0,0,9
1605,8,0,2,0,0,38
1991,19,4,7,117,0,163
1687,2,1,0,0,0,4
1599,6,0,0,0,0,17
1667,1,3,10,0,0,10
1457,0,0,10,0,0,3
1572,2,1,5,0,0,38
1577,4,1,8,0,0,3
1571,5,1,15,0,0,5
1856,12,11,2,28,0,83
1666,1,3,0,0,0,10
1671,12,0,0,0,0,8
1674,1,0,0,0,0,5
1678,1,0,4,0,0,8
1669,2,0,2,0,0,5
1677,2,0,2,0,0,5
1598,4,0,2,0,0,51
1755,143,10,1,0,0,48
1629,3,3,2,0,0,16
1458,0,0,10,0,0,1
1609,4,0,0,0,0,38
1617,5,2,0,0,0,106
1567,9,0,2,0,0,8
1593,1,1,0,0,0,59
1684,4,0,4,0,0,10
1579,2,0,4,0,0,19
1944,106,15,4,115,0,156
1557,3,0,4,0,0,9
1823,18,9,6,0,0,30
1726,9,2,0,0,0,9
1589,2,0,1,0,0,50
1413,0,1,0,0,0,0
1713,7,1,2,0,1,1
1955,1251,11,3,853,0,158
1950,64,18,14,172,1,244
1947,33,23,7,209,0,264
1946,45,20,6,136,0,251
1948,23,12,8,291,0,237
1949,20,13,8,225,0,210
