beginyear,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl,beginyear_x,Vibrant_x,LightVibrant_x,DarkVibrant_x,Muted_x,LightMuted_x,DarkMuted_x,beginyear_y,Vibrant_y,LightVibrant_y,DarkVibrant_y,Muted_y,LightMuted_y,DarkMuted_y,Closest_Web_Color_Hex,hex_color
1890,#4c97ae,#eecfa8,#2190b0,#549cb0,#d3c8b3,#644632,"https://api.nga.gov/iiif/17707775-8562-416f-a470-3761a4ba0414/full/!800,800/0/default.jpg",1890,#4c97ae,#eecfa8,#2190b0,#549cb0,#d3c8b3,#644632,1890,#4c97ae,#eecfa8,#2190b0,#549cb0,#d3c8b3,#644632,#4682b4,"(70, 130, 180)"
1861,#b89c29,#dec193,#7c4c16,#bb9d61,#c4b68f,#65552d,"https://api.nga.gov/iiif/f81d9087-2dd9-4e8d-bac6-1fa0e983bbc8/full/!800,800/0/default.jpg",1861,#b89c29,#dec193,#7c4c16,#bb9d61,#c4b68f,#65552d,1861,#b89c29,#dec193,#7c4c16,#bb9d61,#c4b68f,#65552d,#daa520,"(218, 165, 32)"
1750,#dc771c,#f7ac4c,#8b3c10,#7d8087,#b7b8c1,#613f34,"https://api.nga.gov/iiif/747adfed-9c43-4d76-9d0b-f1439b2d72d8/full/!800,800/0/default.jpg",1750,#dc771c,#f7ac4c,#8b3c10,#7d8087,#b7b8c1,#613f34,1750,#dc771c,#f7ac4c,#8b3c10,#7d8087,#b7b8c1,#613f34,#d2691e,"(210, 105, 30)"
1880,#b44840,#ece4d4,#50a83c,#9b8d7d,#dcd4c4,#594c44,"https://api.nga.gov/iiif/e58d9850-f03d-45d3-a1cc-23281768d46c/full/!800,800/0/default.jpg",1880,#b44840,#ece4d4,#50a83c,#9b8d7d,#dcd4c4,#594c44,1880,#b44840,#ece4d4,#50a83c,#9b8d7d,#dcd4c4,#594c44,#a0522d,"(160, 82, 45)"
1890,#b48444,#e6c596,#6c4c2c,#9d8054,#b49a6b,#644a2b,"https://api.nga.gov/iiif/b5328f57-de35-4e8c-9db0-9700c849e3b4/full/!800,800/0/default.jpg",1890,#b48444,#e6c596,#6c4c2c,#9d8054,#b49a6b,#644a2b,1890,#b48444,#e6c596,#6c4c2c,#9d8054,#b49a6b,#644a2b,#cd853f,"(205, 133, 63)"
1860,#d29940,#d4ba9d,#845424,#856853,#d4c4ac,#543729,"https://api.nga.gov/iiif/57bd72f2-66e6-4cd7-8fd4-4d4004980b61/full/!800,800/0/default.jpg",1860,#d29940,#d4ba9d,#845424,#856853,#d4c4ac,#543729,1860,#d29940,#d4ba9d,#845424,#856853,#d4c4ac,#543729,#cd853f,"(205, 133, 63)"
1860,#785c34,#d2b59c,#5c342c,#767168,#c4ac9c,#4c3829,"https://api.nga.gov/iiif/af9c0d2b-39d7-4da8-980d-9dde91d374dd/full/!800,800/0/default.jpg",1860,#785c34,#d2b59c,#5c342c,#767168,#c4ac9c,#4c3829,1860,#785c34,#d2b59c,#5c342c,#767168,#c4ac9c,#4c3829,#556b2f,"(85, 107, 47)"
1856,#b47444,#ceaf8a,#62442f,#94806e,#beb292,#4d3425,"https://api.nga.gov/iiif/b1461d28-88d4-4aee-88dd-a78d368308ff/full/!800,800/0/default.jpg",1856,#b47444,#ceaf8a,#62442f,#94806e,#beb292,#4d3425,1856,#b47444,#ceaf8a,#62442f,#94806e,#beb292,#4d3425,#cd853f,"(205, 133, 63)"
1860,#b4855a,#dec4a4,#5b4129,#a47454,#d4bca4,#554633,"https://api.nga.gov/iiif/8420cb32-97d7-402c-bf89-e7c83099ab33/full/!800,800/0/default.jpg",1860,#b4855a,#dec4a4,#5b4129,#a47454,#d4bca4,#554633,1860,#b4855a,#dec4a4,#5b4129,#a47454,#d4bca4,#554633,#cd853f,"(205, 133, 63)"
1855,#bc3420,#e4d4ac,#3c2013,#8f745c,#d4c4a7,#563829,"https://api.nga.gov/iiif/dd5336a5-54e7-4a5d-9a12-59341e8a57e9/full/!800,800/0/default.jpg",1855,#bc3420,#e4d4ac,#3c2013,#8f745c,#d4c4a7,#563829,1855,#bc3420,#e4d4ac,#3c2013,#8f745c,#d4c4a7,#563829,#b22222,"(178, 34, 34)"
1890,#c4ac84,#e4dcbc,#59482a,#9c8570,#cebba4,#584742,"https://api.nga.gov/iiif/d9c59242-c05f-4c86-8496-94ca345b6ab7/full/!800,800/0/default.jpg",1890,#c4ac84,#e4dcbc,#59482a,#9c8570,#cebba4,#584742,1890,#c4ac84,#e4dcbc,#59482a,#9c8570,#cebba4,#584742,#d2b48c,"(210, 180, 140)"
1883,#bf442a,#dec19b,#663a28,#bfa981,#c3be96,#2b363c,"https://api.nga.gov/iiif/f422307b-82b4-4785-99bd-c331742bb866/full/!800,800/0/default.jpg",1883,#bf442a,#dec19b,#663a28,#bfa981,#c3be96,#2b363c,1883,#bf442a,#dec19b,#663a28,#bfa981,#c3be96,#2b363c,#a0522d,"(160, 82, 45)"
1864,#867d39,#d4bc9c,#70681a,#998d6c,#cec1ac,#595c32,"https://api.nga.gov/iiif/b376031e-9535-4366-8313-34db8707ef44/full/!800,800/0/default.jpg",1864,#867d39,#d4bc9c,#70681a,#998d6c,#cec1ac,#595c32,1864,#867d39,#d4bc9c,#70681a,#998d6c,#cec1ac,#595c32,#6b8e23,"(107, 142, 35)"
1890,#ccb494,#dcc3a7,#59452a,#9b836c,#d4bb9c,#5c4435,"https://api.nga.gov/iiif/38d38d52-dd27-46ad-baf9-94804122a3ac/full/!800,800/0/default.jpg",1890,#ccb494,#dcc3a7,#59452a,#9b836c,#d4bb9c,#5c4435,1890,#ccb494,#dcc3a7,#59452a,#9b836c,#d4bb9c,#5c4435,#d2b48c,"(210, 180, 140)"
1750,#2a5c9d,#749ccc,#113870,#818081,#b8becb,#413f3f,"https://api.nga.gov/iiif/7d3b5510-a06d-41f3-be63-8ef87c88095d/full/!800,800/0/default.jpg",1750,#2a5c9d,#749ccc,#113870,#818081,#b8becb,#413f3f,1750,#2a5c9d,#749ccc,#113870,#818081,#b8becb,#413f3f,#483d8b,"(72, 61, 139)"
1860,#6c4434,#e3c6b3,#3a241b,#5b6f9c,#d1baaf,#5f524a,"https://api.nga.gov/iiif/928e7b6e-2796-4271-b1de-312544395ecf/full/!800,800/0/default.jpg",1860,#6c4434,#e3c6b3,#3a241b,#5b6f9c,#d1baaf,#5f524a,1860,#6c4434,#e3c6b3,#3a241b,#5b6f9c,#d1baaf,#5f524a,#8b4513,"(139, 69, 19)"
1890,#e6ac06,#e2c089,#6c6f0a,#998547,#bcb491,#434525,"https://api.nga.gov/iiif/06c79e5b-bc00-4fd7-b0ef-98ea3d8fe988/full/!800,800/0/default.jpg",1890,#e6ac06,#e2c089,#6c6f0a,#998547,#bcb491,#434525,1890,#e6ac06,#e2c089,#6c6f0a,#998547,#bcb491,#434525,#ffa500,"(255, 165, 0)"
1884,#c86460,#e9d4b9,#622422,#8c8a82,#ece4dc,#4f504a,"https://api.nga.gov/iiif/580f24ec-865e-4659-908b-09a61a805e17/full/!800,800/0/default.jpg",1884,#c86460,#e9d4b9,#622422,#8c8a82,#ece4dc,#4f504a,1884,#c86460,#e9d4b9,#622422,#8c8a82,#ece4dc,#4f504a,#cd5c5c,"(205, 92, 92)"
1887,#dbad73,#fce4b4,#69461b,#9a8b53,#c6bca0,#696f42,"https://api.nga.gov/iiif/ab3bbe10-cfa7-479b-86df-d13a476e975c/full/!800,800/0/default.jpg",1887,#dbad73,#fce4b4,#69461b,#9a8b53,#c6bca0,#696f42,1887,#dbad73,#fce4b4,#69461b,#9a8b53,#c6bca0,#696f42,#deb887,"(222, 184, 135)"
1890,#dc9c14,#ead281,#174d4e,#898169,#b7b199,#4e432b,"https://api.nga.gov/iiif/abe677b4-727d-441e-a2b3-60688f27fb1e/full/!800,800/0/default.jpg",1890,#dc9c14,#ead281,#174d4e,#898169,#b7b199,#4e432b,1890,#dc9c14,#ead281,#174d4e,#898169,#b7b199,#4e432b,#daa520,"(218, 165, 32)"
1860,#d9a64c,#daa75c,#348024,#b49069,#ba9b7c,#4f392d,"https://api.nga.gov/iiif/734fd015-bafa-4e13-855b-ad2196f882c3/full/!800,800/0/default.jpg",1860,#d9a64c,#daa75c,#348024,#b49069,#ba9b7c,#4f392d,1860,#d9a64c,#daa75c,#348024,#b49069,#ba9b7c,#4f392d,#f4a460,"(244, 164, 96)"
1890,#ad7351,#d4c4a4,#3c281c,#7a675c,#d4ccb4,#45342d,"https://api.nga.gov/iiif/949b7208-0aca-4574-83c1-0414cb39937d/full/!800,800/0/default.jpg",1890,#ad7351,#d4c4a4,#3c281c,#7a675c,#d4ccb4,#45342d,1890,#ad7351,#d4c4a4,#3c281c,#7a675c,#d4ccb4,#45342d,#cd853f,"(205, 133, 63)"
