Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1852,"#946c44",,,,,,"https://api.nga.gov/iiif/5a02c3aa-908f-420b-9390-4f930c38a740/full/!200,200/0/default.jpg"
1900,"#bc5440","#dbc49f","#689c3c","#987a64","#d4bc9c","#624635","https://api.nga.gov/iiif/54319a44-bee1-4efc-8080-20bdf5dc2477/full/!200,200/0/default.jpg"
1898,"#aca03c","#e4d4bc","#3c388c","#877b70","#dcd4bd","#4c433e","https://api.nga.gov/iiif/8d881132-f5df-4d02-9f6d-35b969a601de/full/!200,200/0/default.jpg"
1890,"#c85c54","#f4ecd4","#642420","#948474","#ccc0ad","#584c45","https://api.nga.gov/iiif/c450bcc7-2c6b-4b33-b8e2-70ca1f5d20be/full/!200,200/0/default.jpg"
1852,"#7cb45c","#dcccb4","#3b5a29","#7c7098","#d4ccaf","#6f6651","https://api.nga.gov/iiif/563ade48-feb3-4859-8810-625848a20510/full/!200,200/0/default.jpg"
1884,"#c0b454","#e4d8c1","#605a23","#64b050","#dcd4bc","#443c34","https://api.nga.gov/iiif/17be9f58-baf3-4f76-91a0-3bbfd109a7fd/full/!200,200/0/default.jpg"
1500,"#ccbc94","#e0d0b7","#594c2a","#a49380","#ccbca3",,"https://api.nga.gov/iiif/be18194e-1e95-46f1-8707-01d83c66e21a/full/!200,200/0/default.jpg"
1854,"#c09044",,,,,,"https://api.nga.gov/iiif/d32f10af-c491-45c2-97cf-594a9ec3552c/full/!200,200/0/default.jpg"
1891,"#cc705c","#e4ccb4","#642b1f","#887865","#d5c4ac","#6a5c4c","https://api.nga.gov/iiif/4e9302fd-16e8-47fd-9698-32a410da1ddb/full/!200,200/0/default.jpg"
1475,"#d48474","#f4ecdc","#652a1f","#aca08f","#d8c9b4",,"https://api.nga.gov/iiif/d007beb1-e63e-4eeb-9fec-eacb709ad413/full/!200,200/0/default.jpg"
1500,"#808c30",,,,,,"https://api.nga.gov/iiif/e401cc29-5c73-4bba-88ae-fdd7a21d14dd/full/!200,200/0/default.jpg"
1837,"#b0bc54",,,,,,"https://api.nga.gov/iiif/809fa6db-17cf-4fbe-81db-92de71d5add1/full/!200,200/0/default.jpg"
1500,"#bb7843",,,,,,"https://api.nga.gov/iiif/1e905343-f30d-4b64-9ac6-256541a37b09/full/!200,200/0/default.jpg"
1897,"#d47468","#f4ecd4","#67251d","#7c70b4","#cdc4ac","#675d54","https://api.nga.gov/iiif/5d9027cc-94a3-462c-9d28-15286745725a/full/!200,200/0/default.jpg"
1500,"#40889c",,,,,,"https://api.nga.gov/iiif/e2ccba38-736d-43a1-bb6c-6640c14afe95/full/!200,200/0/default.jpg"
1662,"#c0d868","#c0d868","#58691b","#867d7c","#cfbbae","#445c3c","https://api.nga.gov/iiif/fc1baa07-7406-495c-8a82-4c4c36169c37/full/!200,200/0/default.jpg"
1816,"#b09c48","#bca86c","#5c9c44","#9c8c7d","#d4c4b4","#544a40","https://api.nga.gov/iiif/faefbd57-f4a3-4ce1-9584-2cd515d51573/full/!200,200/0/default.jpg"
1861,"#a76342",,,,,,"https://api.nga.gov/iiif/60c158be-595a-4e41-bed5-2e6b0048ae26/full/!200,200/0/default.jpg"
1800,"#c18251",,,,,,"https://api.nga.gov/iiif/6ee6457e-a25e-4595-8753-ce7d3e7872bd/full/!200,200/0/default.jpg"
1808,"#c8a83c","#ecdcc2","#745434","#a37c5c","#c19b78","#4f3b33","https://api.nga.gov/iiif/065d8608-c16c-4416-9d66-56f716f928b9/full/!200,200/0/default.jpg"
1837,"#d068a4","#fcecd4","#651f47","#9f9079","#d3c4a6","#5a4f47","https://api.nga.gov/iiif/a6ea2f21-cabe-415a-b605-ae6b2c6c0f7b/full/!200,200/0/default.jpg"
1861,"#b6744a","#bc9769","#7c5424","#9c896b","#b4956b","#746c4f","https://api.nga.gov/iiif/e280b88d-ee73-45d8-82fb-21a6afb51053/full/!200,200/0/default.jpg"
1825,"#eb9855","#f4dcb4","#888c0c","#a89555","#cebd97","#645c3c","https://api.nga.gov/iiif/a5f5d208-0134-4e28-a925-995eae6fd21f/full/!200,200/0/default.jpg"
1855,"#c4b078","#d7c498","#5c4e28","#856c58","#b9a182","#543c30","https://api.nga.gov/iiif/8a952cb6-4dff-4154-b7a8-e737c2320c77/full/!200,200/0/default.jpg"
1837,"#ccb48c","#e4d5b6","#5b4828","#7c6d5a","#c1ad8c","#4c443c","https://api.nga.gov/iiif/c9f4e65b-27b0-4c8d-80d8-a141a685a9e7/full/!200,200/0/default.jpg"
1854,"#c4ac84","#ecd6b2","#59482a","#97846d","#d3bd9c","#4c443c","https://api.nga.gov/iiif/4674b8cb-96d9-4423-a47c-45c19ee1547f/full/!200,200/0/default.jpg"
1809,"#b84c84","#ecd4bc","#60a03c","#ac8c69","#d4bca1","#6c4e3b","https://api.nga.gov/iiif/028b247e-e634-42d5-9afc-4075f5a541c1/full/!200,200/0/default.jpg"
1592,"#78bc58","#f4e4cc","#385e25","#94846c","#d1c0a7","#635647","https://api.nga.gov/iiif/7d6f3cf1-d0ca-420c-9fd9-793f76078dc7/full/!200,200/0/default.jpg"
1836,"#48a844","#f4e4cc","#285e26","#9c785c","#d1bfa6","#47413b","https://api.nga.gov/iiif/926e74ca-4a1e-462c-a06c-4ee1706842b2/full/!200,200/0/default.jpg"
1816,"#b8604c","#dcccb4","#5e3025","#9f907a","#d4c4ac","#51483b","https://api.nga.gov/iiif/e6e5006e-4c09-48e2-9d2a-70582d2c836b/full/!200,200/0/default.jpg"
1837,"#d8846c","#f4e4cb","#682c1b","#8a7e6e","#d2c4ac","#746c54","https://api.nga.gov/iiif/910a955d-2db7-4baf-893d-7fbb9e748c3f/full/!200,200/0/default.jpg"
1857,"#ac7434","#c4b47c","#5e4526","#7ba493","#c0c493","#41351e","https://api.nga.gov/iiif/c31769b8-f5f8-41bd-b204-1e838690c219/full/!200,200/0/default.jpg"
1837,"#d8c468","#f4e4cb","#695b1b","#8f836d","#d4c4a9","#685850","https://api.nga.gov/iiif/b18c1959-3c32-4a47-b5cc-1933b07fff61/full/!200,200/0/default.jpg"
1450,"#b87f46",,,,,,"https://api.nga.gov/iiif/36473e61-f76f-41ba-b2e6-c89973caf6fa/full/!200,200/0/default.jpg"
1500,"#64b04c","#e4d4bc","#345c27","#8f8475","#d4c5ad","#4c4434","https://api.nga.gov/iiif/60b9a0e4-4d27-4cf5-b472-6b3d4570ea8e/full/!200,200/0/default.jpg"
1617,"#74bc54","#f3e4c4","#375f25","#7460a4","#c9b89f","#564c44","https://api.nga.gov/iiif/bccd08b2-c8b6-433b-8d82-3ef7146bdea6/full/!200,200/0/default.jpg"
1500,"#c0c874","#e4d6c4","#595f25","#8c7c71","#ccc1ae","#5d524b","https://api.nga.gov/iiif/d8e71d0b-187d-4d8b-90f6-56dd5591764d/full/!200,200/0/default.jpg"
1837,"#c4a379","#f9dcaf","#5c4528","#ba9d75","#c4ac89","#645444","https://api.nga.gov/iiif/d6a0a32c-cf77-43fe-b303-3207df46e290/full/!200,200/0/default.jpg"
1522,"#d0b464","#e4d4b5","#65531e","#8b7b68","#d4c4a6","#6c6054","https://api.nga.gov/iiif/c1bc3b91-076d-45c5-afb8-15a32c8cd16f/full/!200,200/0/default.jpg"
1500,"#ccb494","#ecd9bd","#59452a","#948370","#d4c1a7","#544434","https://api.nga.gov/iiif/1242a88e-3c69-4b8b-9e3b-dadb59cc2552/full/!200,200/0/default.jpg"
1825,"#c4685c","#e4d9c4","#612a23","#a29685","#e4dbcc","#5a5047","https://api.nga.gov/iiif/95b5ee68-b303-4c26-9c4a-37fe26b19b03/full/!200,200/0/default.jpg"
1475,"#883c78",,,,,,"https://api.nga.gov/iiif/2311d0de-d9ed-44f1-b5f5-c836fc7c1997/full/!200,200/0/default.jpg"
1837,"#cca474","#fcedd8","#614523","#a4745c","#cbc09d","#37484d","https://api.nga.gov/iiif/14801afa-06a6-44f3-94c8-12ffd499aaec/full/!200,200/0/default.jpg"
1880,"#dcc464","#ecd4b4","#6c5b18","#a98e70","#d4bc9c",,"https://api.nga.gov/iiif/9aad1b82-4676-4b4a-b87a-bd499790cde8/full/!200,200/0/default.jpg"
1500,"#b76747",,,,,,"https://api.nga.gov/iiif/89f0bd8c-cfa7-4355-9d2c-decc433d40fc/full/!200,200/0/default.jpg"
1847,"#c45cb0","#fcecdc","#612355","#9f9285","#d2c4b4","#4c4242","https://api.nga.gov/iiif/1580881d-e546-4e4d-8dbe-1d74957fbde0/full/!200,200/0/default.jpg"
1662,"#c4947c","#e5d2c7","#1c3c2c","#8e8174","#c6c2b9","#365c50","https://api.nga.gov/iiif/8ccce444-2fbd-41c2-b414-e668a4692d5b/full/!200,200/0/default.jpg"
1480,"#d67645","#fce1bd","#8c473e","#9c866a","#d0bfa1","#664a3e","https://api.nga.gov/iiif/955df577-3f7f-46b9-a7e4-099916e6d4b1/full/!200,200/0/default.jpg"
1649,"#bc5c54","#d4c4a4","#5f2925","#68ac54","#d4c4ac","#51413c","https://api.nga.gov/iiif/27ba90b4-4a0b-496c-a8c1-c4d43d1214fb/full/!200,200/0/default.jpg"
1500,"#b99462","#ecdcbc","#816438","#a78d68","#bba789","#634f36","https://api.nga.gov/iiif/71ebd06b-7018-4e76-910e-d591d1c78ee3/full/!200,200/0/default.jpg"
1852,"#b44c80","#d4bc95","#5d2742","#947e64","#ccb48f","#50453c","https://api.nga.gov/iiif/72434d23-8a7c-4f04-99e0-44d9f22cce24/full/!200,200/0/default.jpg"
1500,"#3c2dd2",,,,,,"https://api.nga.gov/iiif/74a39dc5-f37f-4388-a7bf-060aabd83023/full/!200,200/0/default.jpg"
1825,"#b05498","#ccb494","#5a294d","#887c68","#c4b494","#5c543c","https://api.nga.gov/iiif/609cd46e-a7c6-4b91-a417-918040cd95db/full/!200,200/0/default.jpg"
1800,"#d8aa62","#e6a47c","#381804","#b88466","#d6c8bb","#4a4224","https://api.nga.gov/iiif/98e476f3-8940-4bd6-b2ce-1a335f4f04eb/full/!200,200/0/default.jpg"
1600,"#d0685c","#f4ecdc","#66251d","#948c74","#cbc0ae","#574d43","https://api.nga.gov/iiif/1b715216-1aff-461a-af90-4411cfdb7fca/full/!200,200/0/default.jpg"
1470,"#cc74b4","#e4d4b4","#612350","#8b7b68","#d4c4a7","#6a5e4e","https://api.nga.gov/iiif/06d64251-20d4-452f-8725-0cf500f9abcf/full/!200,200/0/default.jpg"
1894,"#a84098",,,,,,"https://api.nga.gov/iiif/4fd2871b-d03d-406e-92c3-8d590ad6d804/full/!200,200/0/default.jpg"
1824,"#ccaf8b","#dcbc9c","#5c4528","#947c62","#c4ac86","#504235","https://api.nga.gov/iiif/5f26e1d2-742a-4553-bc63-8fc0d8087b6c/full/!200,200/0/default.jpg"
1500,"#bcac50","#e4d4b4","#5f5724","#887f6f","#d4c6ac","#4a483f","https://api.nga.gov/iiif/3aad414c-fc30-4393-bb30-c3e75a9d85c5/full/!200,200/0/default.jpg"
1861,"#c85850","#fcecda","#64241f","#91846f","#d1c2ac","#52483f","https://api.nga.gov/iiif/cfa632a6-f673-4f9c-b47a-451a6d36e06f/full/!200,200/0/default.jpg"
1480,"#d0b444","#ecd4ac","#695a1a","#a0815d","#d4c4ac","#665036","https://api.nga.gov/iiif/d135934c-06b2-4ba7-932c-2cf9b4d056ff/full/!200,200/0/default.jpg"
1849,"#68c858","#fcf4ec","#2a6320","#645cb8","#ccc2b4","#4f4844","https://api.nga.gov/iiif/fcec1d38-3afc-4c7b-ba11-f99c06c196fb/full/!200,200/0/default.jpg"
1767,"#e8c070","#e8c070","#725212","#93846c","#ccb9a0","#62554a","https://api.nga.gov/iiif/d8926b6e-ba86-41c5-9ce0-ae6f85f4130a/full/!200,200/0/default.jpg"
1837,"#ccb85c","#f4e4cc","#64581f","#867969","#cdbda4","#62574f","https://api.nga.gov/iiif/adf7db61-3eca-481e-a5d4-f61264053516/full/!200,200/0/default.jpg"
1525,"#4ca094","#c5a07a","#5c3c26","#9d7b5c","#c2b499","#4a3d29","https://api.nga.gov/iiif/1f2f45e6-089e-46ee-a31a-2a1202673c30/full/!200,200/0/default.jpg"
1779,"#d478bc","#fcf4dc","#642052","#867968","#d4c4ac","#61594c","https://api.nga.gov/iiif/932f7f15-b72d-4e30-a336-1efb22302c1b/full/!200,200/0/default.jpg"
1800,"#c38671","#d9ac92","#24140b","#9e7665","#c7baac","#634932","https://api.nga.gov/iiif/6689f0bd-101a-4310-86cd-022ef4b9da1e/full/!200,200/0/default.jpg"
1785,"#78b460","#d4c8a0","#385a2a","#786ca4","#d4ccbc","#756d63","https://api.nga.gov/iiif/a57e3d4e-7397-4fbb-a756-0d652329eee7/full/!200,200/0/default.jpg"
1700,"#c05c9c","#fcecd4","#5f244a","#90806c","#c2b197","#685b4f","https://api.nga.gov/iiif/301411a8-f84c-4ed8-9c10-f96502137956/full/!200,200/0/default.jpg"
1840,"#b5280a","#d7c08e","#842007","#b58c58","#dcd7bb","#2b4951","https://api.nga.gov/iiif/72f556b2-0e2d-4516-8ffc-82b1a2097c92/full/!200,200/0/default.jpg"
1880,"#b8a820","#e4ccac","#643c2c","#a48464","#c4bca4","#45382c","https://api.nga.gov/iiif/9ef3aba8-b8bf-428a-b866-c407ba9373bb/full/!200,200/0/default.jpg"
1786,"#b8c058","#f4e4cc","#5b6024","#ab835d","#d4c4a4","#6b4e3c","https://api.nga.gov/iiif/229beb55-748d-41c8-bee0-a6cf329b69df/full/!200,200/0/default.jpg"
1865,"#68b854","#e8dcc4","#315d26","#685ca8","#dcd0bc","#4a423d","https://api.nga.gov/iiif/75f8842c-3112-4952-8071-949c4eaa9af6/full/!200,200/0/default.jpg"
1890,"#64b89c","#fce4c5","#295a4a","#64549c","#ccbc9f","#554a45","https://api.nga.gov/iiif/e603a953-8457-496e-b05e-61d80f1da5d0/full/!200,200/0/default.jpg"
1540,"#d8d088","#e5d2b6","#635d20","#bca48a","#c4b497","#836f5c","https://api.nga.gov/iiif/36fed332-2033-4bbc-a1de-f168a63cf092/full/!200,200/0/default.jpg"
1890,"#a46b45","#dcb793","#644424","#a88966","#c0a07f","#604732","https://api.nga.gov/iiif/b5420e70-c513-436f-aff4-2369dc7350f5/full/!200,200/0/default.jpg"
1500,"#90643c",,,,,,"https://api.nga.gov/iiif/7fb46d19-106b-4c48-b820-926b5f8a7e37/full/!200,200/0/default.jpg"
1837,"#d4bc60","#ecdcbc","#68581c","#907f68","#ccbc9b","#6c5c4c","https://api.nga.gov/iiif/db48b582-567c-42fc-b8de-38b5e873849e/full/!200,200/0/default.jpg"
1475,"#80346c",,,,,,"https://api.nga.gov/iiif/51b2cb38-d881-46e5-96f2-5d7040d6f4d7/full/!200,200/0/default.jpg"
1837,"#ccb695","#d4bb9a","#59462b","#947c64","#c4ac8c","#836b55","https://api.nga.gov/iiif/c4afcee1-cb46-4ca8-b9fd-0479f730eb68/full/!200,200/0/default.jpg"
1500,"#ac8c34",,,,,,"https://api.nga.gov/iiif/642c72c2-fe52-4043-b6da-a17f4503d784/full/!200,200/0/default.jpg"
1900,"#ccc064","#ece4d4","#635c20","#7068b0","#d4c4b4","#524c45","https://api.nga.gov/iiif/aa84da42-bae9-439c-95a1-9684b834aefd/full/!200,200/0/default.jpg"
1500,"#90b448",,,,,,"https://api.nga.gov/iiif/7191c1da-f248-404e-9216-00efbb686426/full/!200,200/0/default.jpg"
1894,"#d8806c","#f4e5cc","#682a1b","#998b77","#d3c5ac","#746854","https://api.nga.gov/iiif/1c0d0f75-83a6-45a9-9334-b9f896ba42af/full/!200,200/0/default.jpg"
1859,"#989848",,,,,,"https://api.nga.gov/iiif/014bf493-cd1c-4849-b8e6-09517d344327/full/!200,200/0/default.jpg"
1837,"#78803c",,,,,,"https://api.nga.gov/iiif/f067f403-001d-41ce-8ad7-1930742c641d/full/!200,200/0/default.jpg"
1798,"#b9946c","#ebd0a7","#59432a","#80624f","#d1b994","#54443c","https://api.nga.gov/iiif/add4852f-5274-41bf-adca-7b706773e0d0/full/!200,200/0/default.jpg"
1837,"#b4a04c","#dcccb4","#5d5327","#9b8d7c","#ccbca4","#514743","https://api.nga.gov/iiif/202a1d75-dabd-46fd-bdb8-484b0b7cc22a/full/!200,200/0/default.jpg"
1837,"#c85848","#f4e4c4","#65271e","#a1927a","#d8c7a6","#4c443e","https://api.nga.gov/iiif/2635138a-1de1-493e-9f0d-b84d216f7e2c/full/!200,200/0/default.jpg"
1893,"#b4a044","#dcccad","#54a040","#b4a48c","#d7c4ac","#5e5447","https://api.nga.gov/iiif/e69b94aa-6d89-459c-bb4e-23e8fb59c0d1/full/!200,200/0/default.jpg"
1880,"#d47458","#ecdcbc","#692c1b","#988666","#d3c4a3","#786048","https://api.nga.gov/iiif/c8f3ae9b-c9bb-45a9-a630-4cd0505d852b/full/!200,200/0/default.jpg"
1837,"#b85498","#e4d4ba","#5d264c","#948876","#dcd1b4","#574e47","https://api.nga.gov/iiif/ba2a9d4c-aa3a-4c01-9b2c-6dcb84cb32b5/full/!200,200/0/default.jpg"
1797,"#c39a6a","#e4c49c","#5e4426","#8c7a66","#ccb595","#5f5246","https://api.nga.gov/iiif/e513ee0a-a956-4ba9-bff0-1a81ee669463/full/!200,200/0/default.jpg"
1829,"#9c3c2c","#f4e4d4","#84643c","#9c866a","#d4c2af","#50473a","https://api.nga.gov/iiif/e63dd5c0-3753-443e-9350-ef1a17e6c732/full/!200,200/0/default.jpg"
1852,"#ccb858","#f4e4cc","#65591f","#9c8e80","#ccbba8","#48423e","https://api.nga.gov/iiif/0a35e261-d9a7-48b6-9a8b-862d3a18ad90/full/!200,200/0/default.jpg"
1525,"#b0883c",,,,,,"https://api.nga.gov/iiif/ef68899f-7980-482a-93ad-1d01a9c60b3e/full/!200,200/0/default.jpg"
1500,"#b78747",,,,,,"https://api.nga.gov/iiif/2be5fa61-9318-4ab6-bf39-a03115d63e24/full/!200,200/0/default.jpg"
1858,"#bca844","#dfceb7","#615722","#ae9c84","#c3b49d","#413a39","https://api.nga.gov/iiif/d72c7bd7-be4b-4c00-857a-ce28e4ee7cba/full/!200,200/0/default.jpg"
1780,"#a44c1c","#e7b478","#371e07","#a68b60","#bca47c","#684f2e","https://api.nga.gov/iiif/789cc52b-8d47-446c-b6be-3492afd633bf/full/!200,200/0/default.jpg"
1600,"#ccb854","#ecdcbc","#665a1e","#948470","#c8b9a0","#4e433c","https://api.nga.gov/iiif/d8694384-7838-4ead-9d7c-e02760a232cd/full/!200,200/0/default.jpg"
1879,"#d06c64","#f4e4cc","#65241e","#a99b8a","#d2c2ad","#5a544e","https://api.nga.gov/iiif/a98b309d-0092-4b3e-bbef-c215aec21ad0/full/!200,200/0/default.jpg"
1500,"#d6287a",,,,,,"https://api.nga.gov/iiif/05af17a0-0f1d-41c2-a7ad-3aaeed5c283e/full/!200,200/0/default.jpg"
1655,"#c05c50","#dccbb2","#612923","#887d6e","#ccbca4","#534b43","https://api.nga.gov/iiif/1689bcac-4523-4165-976c-c4a1ff15b197/full/!200,200/0/default.jpg"
1837,"#d0b48c","#dcbc95","#5e4726","#a8906f","#c4a985","#72624f","https://api.nga.gov/iiif/1f93e588-47e2-4204-bb0e-3585d272615e/full/!200,200/0/default.jpg"
1899,"#b44c98","#dcccb2","#5d274e","#9a917d","#c9bca4","#5d574a","https://api.nga.gov/iiif/cbbc9389-17a2-4ae3-92e1-91a222cf2725/full/!200,200/0/default.jpg"
1635,"#c4a068","#ccb492","#5f4825","#ac9474","#c4ac8c","#8c7052","https://api.nga.gov/iiif/3702a55e-ce38-470e-8181-70d0f585f0bd/full/!200,200/0/default.jpg"
1863,"#50a03c","#ecdcc4","#504090","#509c90","#d2c4ac","#584945","https://api.nga.gov/iiif/844fd970-8d33-4193-af30-c44eefdec21d/full/!200,200/0/default.jpg"
1890,"#cc947c","#d4b69f","#5f3625","#b89777","#cfc4ac","#665e57","https://api.nga.gov/iiif/0f198081-b5f4-4227-a275-efe4591721bf/full/!200,200/0/default.jpg"
1837,"#cc6cb4","#f4e4cb","#622252","#7f7364","#cabea6","#5a514a","https://api.nga.gov/iiif/9396c074-fc2a-4755-af1b-5b46a2972395/full/!200,200/0/default.jpg"
1782,"#cc5894","#f4d4ac","#651f43","#a18e72","#c7b496","#544438","https://api.nga.gov/iiif/91437695-590c-4b62-9aac-76f9051a9cd2/full/!200,200/0/default.jpg"
1890,"#b8ac54","#c8bc88","#5d5726","#5c589c","#ccc4b4","#4c443c","https://api.nga.gov/iiif/b6ce3db1-35ee-48d7-87db-edc4c8f95273/full/!200,200/0/default.jpg"
1891,"#cc584c","#fce4bc","#67241d","#a08c70","#c6b08d","#554a40","https://api.nga.gov/iiif/f7c55190-4e08-4cab-a7e9-ecdc3abbad3f/full/!200,200/0/default.jpg"
1592,"#d470a8","#f4e4cc","#651e46","#92836d","#c8b89f","#6d6050","https://api.nga.gov/iiif/7b28347d-b1ca-4a7d-a402-91290f6927d3/full/!200,200/0/default.jpg"
1600,"#947030",,,,,,"https://api.nga.gov/iiif/4e2f4ae8-faf5-4b25-83ba-d5b8dd565d2b/full/!200,200/0/default.jpg"
1480,"#c09854",,,,,,"https://api.nga.gov/iiif/527f727c-0385-4460-bcf6-27eef2424493/full/!200,200/0/default.jpg"
1877,"#c8609c","#e4ccac","#622247","#9c8871","#ccb99c","#695b4b","https://api.nga.gov/iiif/63cb7d24-d9ba-44e1-9611-c20d77f7417b/full/!200,200/0/default.jpg"
1870,"#c0a458","#d4b493","#605024","#bca484","#cbb494","#856c52","https://api.nga.gov/iiif/122c1c41-6945-4035-a59a-d2a8a0d2126e/full/!200,200/0/default.jpg"
1852,"#c06450","#dcccac","#612e23","#94846b","#d4c4a4","#51483a","https://api.nga.gov/iiif/520d9a0f-c403-49c4-9f12-146d10df7b34/full/!200,200/0/default.jpg"
1852,"#c4b85c","#e4dbc4","#615a23","#6460a4","#e4dccc","#4a4a42","https://api.nga.gov/iiif/a11771b9-7f59-40b8-84ef-99ccb51a678a/full/!200,200/0/default.jpg"
1895,"#b45474","#d6bc98","#5c2839","#8a7056","#bc9c7c","#725a41","https://api.nga.gov/iiif/5aa6c168-699f-4de4-8864-5e3b5d8c8a6d/full/!200,200/0/default.jpg"
1852,"#c4685c","#e4d4bc","#612a23","#948c74","#dcd4b7","#4c443c","https://api.nga.gov/iiif/dba5b6a4-8280-4215-ad87-ab7f53cd38ab/full/!200,200/0/default.jpg"
1884,"#50ac44","#e4dcc4","#2c5f25","#958977","#d2c4ac","#3d3631","https://api.nga.gov/iiif/5623a5e7-93ad-47c3-8a00-44c3917e76ff/full/!200,200/0/default.jpg"
1660,"#d0c85c","#fceccc","#66611d","#ac9d82","#c8b99e","#716450","https://api.nga.gov/iiif/0773c7b9-9be2-437e-9f86-e4d940792563/full/!200,200/0/default.jpg"
1895,"#ac9c3c","#dbccb4","#625922","#8d846c","#d4c3aa","#4f493d","https://api.nga.gov/iiif/f9c5a206-6c67-4b25-a83a-da550ea78410/full/!200,200/0/default.jpg"
1400,"#745c34",,,,,,"https://api.nga.gov/iiif/e5180a6d-0c4d-4c73-a67a-d7e8721e7a9b/full/!200,200/0/default.jpg"
1887,"#c4ac84","#f4dcb9","#59482a","#9c8669","#d3bc9c",,"https://api.nga.gov/iiif/b9adeace-2e3e-40d7-aa33-ed54b2291863/full/!200,200/0/default.jpg"
1622,"#80c060","#ecdcbc","#385e25","#94846f","#d6c3a4","#7c6f5c","https://api.nga.gov/iiif/1ad0a0af-8665-4ece-b3b0-3a4cb1ece9e5/full/!200,200/0/default.jpg"
1500,"#bfbf3f",,,,,,"https://api.nga.gov/iiif/efeb395a-e657-4272-b0f7-c3a69ebeb316/full/!200,200/0/default.jpg"
1898,"#acc874","#f4dcb4","#4b5f25","#9c7c64","#ccb493",,"https://api.nga.gov/iiif/a7fc8e7e-b92f-4b8d-b963-6e3cf7902885/full/!200,200/0/default.jpg"
1500,"#b46c5c",,,,,,"https://api.nga.gov/iiif/7d170a7c-185e-4d7a-bbd2-1dcfe377adfe/full/!200,200/0/default.jpg"
1890,"#cc8f11","#dac8a5","#753019","#b1a366","#c5bc97","#38321f","https://api.nga.gov/iiif/5ceb3aae-0d8b-46ac-b626-b461c33de4dd/full/!200,200/0/default.jpg"
1500,"#94443c",,,,,,"https://api.nga.gov/iiif/1f6df2a0-7362-4149-b6ca-6bc5d27cad17/full/!200,200/0/default.jpg"
1662,"#a06d4a","#bd8863","#711217","#746c6c","#c9cbc2","#604139","https://api.nga.gov/iiif/de5e13ee-4fdb-4ddf-a1ff-4ea37150b7b2/full/!200,200/0/default.jpg"
1837,"#d4a772","#f4d49c","#906845","#9e764e","#d4bca4","#714f37","https://api.nga.gov/iiif/f33d7097-5fc7-49d6-8ffd-a6cd361c0514/full/!200,200/0/default.jpg"
1887,"#d070a8","#ecd4b4","#632047","#ad9276","#d4bc9c","#836c56","https://api.nga.gov/iiif/dd08f0e7-0338-46e2-8712-b5864f1f9fe9/full/!200,200/0/default.jpg"
1825,"#c4bc54","#ece4d4","#583890","#887c74","#d4c4b4","#3d3a38","https://api.nga.gov/iiif/fde10176-bdd0-475b-83dc-44e13560f010/full/!200,200/0/default.jpg"
1837,"#d4b48b","#e4c69a","#604623","#a28764","#ccb489","#614c39","https://api.nga.gov/iiif/1a391659-9f9e-4f0d-91f1-f74ad9359546/full/!200,200/0/default.jpg"
1837,"#c0a044","#e1be96","#64a044","#a98c6d","#bc9c7c","#69584c","https://api.nga.gov/iiif/b2d774c2-e743-4021-9e00-d240711d950c/full/!200,200/0/default.jpg"
1890,"#b78d63","#d4b492","#5a4229","#ac7c63","#d4c4ac","#645c51","https://api.nga.gov/iiif/09df3cc7-5166-4d00-9e77-9c20f5766cdf/full/!200,200/0/default.jpg"
1835,"#795c31","#f0d8a9","#6d3004","#a48c5c","#cfc8ac","#141c0c","https://api.nga.gov/iiif/7c998597-f6d8-44f4-b688-8094f35cd0ef/full/!200,200/0/default.jpg"
1847,"#d4c868","#fcece4","#675f1d","#786cb8","#ccc4b4","#5c544c","https://api.nga.gov/iiif/c265da2f-8ed1-4870-a001-a2bfd4e333ab/full/!200,200/0/default.jpg"
1515,"#8c6434","#d9b996","#2b3c1a","#af7f62","#c7a287","#364253","https://api.nga.gov/iiif/b567bff1-506c-4c08-9689-c801fc55a35e/full/!200,200/0/default.jpg"
1896,"#a45c4c",,,,,,"https://api.nga.gov/iiif/693602a0-65a9-4245-a863-32e2a330f629/full/!200,200/0/default.jpg"
1879,"#dca088","#fcecdb","#66321e","#a69986","#d4c8b2",,"https://api.nga.gov/iiif/08063e7a-a07c-4644-855e-eea4a7843943/full/!200,200/0/default.jpg"
1510,"#b05088","#d4bca4","#5b2946","#928574","#c4b49b","#544b41","https://api.nga.gov/iiif/836dc39b-c5fa-43bb-818c-531cd2c12874/full/!200,200/0/default.jpg"
1845,"#c1731e","#f2d785","#86381f","#a99254","#ccbb93","#5a5030","https://api.nga.gov/iiif/afa224b0-3530-4966-9713-a4c24df47e7d/full/!200,200/0/default.jpg"
1840,"#d4b484","#dcb494","#624822","#c4ac84","#d4cca0",,"https://api.nga.gov/iiif/b2366408-6866-4095-8239-bf1c28b00f3c/full/!200,200/0/default.jpg"
1884,"#d8c064","#eccca4","#69591a","#a2845c","#c4cca4",,"https://api.nga.gov/iiif/3f4b8929-acb4-4425-84ca-34fd4001faa3/full/!200,200/0/default.jpg"
1879,"#c49b7b","#dcccb4","#5b3f28","#bc9576","#dcccbc",,"https://api.nga.gov/iiif/c3719223-2ea1-48f4-b03a-163a8637ceb3/full/!200,200/0/default.jpg"
