Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1884,"#dcb484","#ecc595","#67451d","#a8845b","#c0bc88","#8d6d4b","https://api.nga.gov/iiif/3ffdd51b-d213-4cb1-ae59-a6c047bee135/full/!200,200/0/default.jpg"
1475,"#cc6c5c","#ecdcc4","#64291f","#a49584","#d4c4ad","#61564c","https://api.nga.gov/iiif/bb3b0d9f-29de-4be9-9ed3-7b209c14698e/full/!200,200/0/default.jpg"
1700,"#e0b870","#e080b4","#6c4e17","#8c7b68","#d3c3a9","#67594c","https://api.nga.gov/iiif/9a2943d5-ca11-4c0a-9a7d-3b9697e8b797/full/!200,200/0/default.jpg"
1500,"#a4483c",,,,,,"https://api.nga.gov/iiif/0be3e05e-8c19-49af-857c-56461ea4fa0d/full/!200,200/0/default.jpg"
1475,"#9c6b37","#c8996a","#512b18","#a88353","#aaa187","#14110b","https://api.nga.gov/iiif/cec41beb-e9a3-447e-9529-2aa4f5b857ac/full/!200,200/0/default.jpg"
1470,"#33e519",,,,,,"https://api.nga.gov/iiif/04bb276d-02b4-475f-83cf-1697f0cc343d/full/!200,200/0/default.jpg"
1600,"#84543c",,,,,,"https://api.nga.gov/iiif/1b5a7653-8941-4713-92c3-9198823f452b/full/!200,200/0/default.jpg"
1643,"#b8a444","#dccab0","#54a440","#908274","#d4c4ac","#584c44","https://api.nga.gov/iiif/83ab58de-f079-4bf9-8c43-aae409b8cd68/full/!200,200/0/default.jpg"
1855,"#a0b848","#f4d49c","#535f25","#a28058","#be9c74","#6a523f","https://api.nga.gov/iiif/4ad48e59-a449-47db-a45c-29b8a708103a/full/!200,200/0/default.jpg"
1893,"#dcc868","#f4eccc","#6b5d18","#948064","#d0bca4","#847055","https://api.nga.gov/iiif/f249442e-1a07-4982-b873-c11d869e3144/full/!200,200/0/default.jpg"
1480,"#b4843c","#bf965e","#834e24","#9c7d5d",,,"https://api.nga.gov/iiif/9340a81f-cc1b-4f40-8c3a-d0108dc2bacf/full/!200,200/0/default.jpg"
1500,"#9c643c","#c49c74","#6c3c0c","#a88263","#c6aa8a","#4e3324","https://api.nga.gov/iiif/93a1e2a2-5196-4213-936a-d217679963d2/full/!200,200/0/default.jpg"
1849,"#c858a8","#f4ecdc","#632050","#a19488","#c6baab","#453d3a","https://api.nga.gov/iiif/1b026ca1-cfd6-4420-b23f-aa35bd924544/full/!200,200/0/default.jpg"
1550,"#b2994c",,,,,,"https://api.nga.gov/iiif/1e28cbbc-0e1d-4f14-8f80-da24d7b145cb/full/!200,200/0/default.jpg"
1884,"#d8789c","#f4dcb4","#661d39","#9e8669","#d4bc9c","#7a644c","https://api.nga.gov/iiif/40bc0b65-eabd-4e7e-a1b6-f94855ec0dea/full/!200,200/0/default.jpg"
