beginyear,medium,imageurl
1600,print,"https://api.nga.gov/iiif/77e9d4b6-874c-4c90-ae05-7027dfbf590d/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/f59abfdf-eddf-4793-bb04-0204eb6987de/full/!200,200/0/default.jpg"
1894,photograph,"https://api.nga.gov/iiif/2aa939ad-8357-43ba-8934-906fa426d91f/full/!200,200/0/default.jpg"
1523,print,"https://api.nga.gov/iiif/b9a7cd1f-ae1a-42c4-8697-8c632df9d0b4/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/507d7fb2-3f43-4fc1-a733-add0f83c1389/full/!200,200/0/default.jpg"
1723,decorative art,"https://api.nga.gov/iiif/25320cfa-b946-4093-b6b4-763a343815c9/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/df156186-73c0-48e5-802f-62c71237daa5/full/!200,200/0/default.jpg"
1600,sculpture,"https://api.nga.gov/iiif/bbf2bc76-49d2-4342-a903-e0d70c27745e/full/!200,200/0/default.jpg"
1575,drawing,"https://api.nga.gov/iiif/00a1621f-2af5-407b-990c-c266285701c8/full/!200,200/0/default.jpg"
1800,photograph,"https://api.nga.gov/iiif/b4a7c482-c5d5-4c49-a0b2-6bb0e042d091/full/!200,200/0/default.jpg"
1720,print,"https://api.nga.gov/iiif/86384704-7ec3-46cd-8dbf-49fd5cac4251/full/!200,200/0/default.jpg"
1849,sculpture,"https://api.nga.gov/iiif/10a5cac8-bbfd-45ec-991f-60fae6f41471/full/!200,200/0/default.jpg"
1640,print,"https://api.nga.gov/iiif/93aac844-32cb-4f05-8317-e80a66af9eb2/full/!200,200/0/default.jpg"
1900,print,"https://api.nga.gov/iiif/b19d07d8-4c51-425c-b0f6-84bf3705dbba/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/38094211-d2a9-46b8-b841-579b559d4838/full/!200,200/0/default.jpg"
1480,print,"https://api.nga.gov/iiif/10839bcc-cd85-4234-a09f-1dfe5f7ad5f4/full/!200,200/0/default.jpg"
1775,print,"https://api.nga.gov/iiif/54d7d56f-0341-4306-8e3c-0e17850a0944/full/!200,200/0/default.jpg"
1884,painting,"https://api.nga.gov/iiif/ea78dd2c-e6de-4175-8644-dfed22520665/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/f70e3ad6-dc9e-4157-93ad-ed07431f926e/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/4d4a452f-45b8-4680-a11d-6f1e35fb7e3a/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/4d25e164-29d9-4001-b44d-d79c03e4628c/full/!200,200/0/default.jpg"
1900,drawing,"https://api.nga.gov/iiif/c919d824-7451-4e70-a332-c5024344a95c/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/7abed18b-2884-459e-b758-77fda35dfbeb/full/!200,200/0/default.jpg"
1870,sculpture,"https://api.nga.gov/iiif/3f819dc6-b8cf-455b-9c2f-4dbe8b8a800f/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/619474ad-2e5b-417e-81a6-8de414d44a28/full/!200,200/0/default.jpg"
1475,sculpture,"https://api.nga.gov/iiif/690c1cdb-2088-41b1-91ea-a8883878e1ed/full/!200,200/0/default.jpg"
1480,sculpture,"https://api.nga.gov/iiif/25e50afd-a96b-461b-b9eb-a81fab0c5fe6/full/!200,200/0/default.jpg"
1891,drawing,"https://api.nga.gov/iiif/90342ee1-8687-4e30-91b5-99b5ca218afd/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/9f490b8d-ef3f-4862-8657-d672e52d4650/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/982a64fb-a179-462c-b729-89de7ba727a5/full/!200,200/0/default.jpg"
1486,sculpture,"https://api.nga.gov/iiif/be5f59ea-37a4-40cc-a285-d73d901c7a54/full/!200,200/0/default.jpg"
1856,print,"https://api.nga.gov/iiif/8a0756cc-c0da-4a00-98e0-6a37a07207ad/full/!200,200/0/default.jpg"
1859,drawing,"https://api.nga.gov/iiif/f54014bc-710b-4366-a442-88c92538e270/full/!200,200/0/default.jpg"
1575,drawing,"https://api.nga.gov/iiif/18226f33-66a8-415b-b640-0cb291dd0e5b/full/!200,200/0/default.jpg"
1847,print,"https://api.nga.gov/iiif/6036aed5-6817-4d7c-8988-e6721545a642/full/!200,200/0/default.jpg"
1845,sculpture,"https://api.nga.gov/iiif/73db582e-8f6c-449f-a2da-723847fa2949/full/!200,200/0/default.jpg"
1634,print,"https://api.nga.gov/iiif/61c13bca-252d-4a79-8fcf-58ad01c01458/full/!200,200/0/default.jpg"
1620,print,"https://api.nga.gov/iiif/294aff74-e27e-4044-82a6-65d2ec4c0cdf/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/60552761-6437-4778-a118-6114df814c2c/full/!200,200/0/default.jpg"
1845,sculpture,"https://api.nga.gov/iiif/22269aca-6dde-4779-aabf-da4793fabf0c/full/!200,200/0/default.jpg"
1860,photograph,"https://api.nga.gov/iiif/85166593-b94c-4bf1-af6d-ccb70f89646c/full/!200,200/0/default.jpg"
1833,print,"https://api.nga.gov/iiif/0528487d-8a26-4291-9786-19651c041d4e/full/!200,200/0/default.jpg"
1880,drawing,"https://api.nga.gov/iiif/66646239-be40-43a9-a99e-06a35c4cec19/full/!200,200/0/default.jpg"
1900,drawing,"https://api.nga.gov/iiif/c1fdb7d3-48d8-4171-9450-10b3507dae6f/full/!200,200/0/default.jpg"
1900,drawing,"https://api.nga.gov/iiif/7fe68a7d-7485-41fb-8b96-a90e5224de54/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/6bb3e735-be45-4a7a-9453-b662e3325a74/full/!200,200/0/default.jpg"
1449,sculpture,"https://api.nga.gov/iiif/51454f61-36c4-4043-8a2c-9c763eaf685c/full/!200,200/0/default.jpg"
1890,drawing,"https://api.nga.gov/iiif/79c822dc-4154-4b13-8709-9f84f38eee57/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/e4e32b1e-57aa-45d9-b2a9-eb80149c5ac6/full/!200,200/0/default.jpg"
1700,sculpture,"https://api.nga.gov/iiif/18e7ab31-59d2-45c4-bc55-29d755982af4/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/f4bd4804-5879-4965-bb7a-a513700d1041/full/!200,200/0/default.jpg"
1866,drawing,"https://api.nga.gov/iiif/e6ebf127-9cd9-410b-8eca-f1aeb0813c0c/full/!200,200/0/default.jpg"
1634,print,"https://api.nga.gov/iiif/506cf938-236b-4c13-a0e0-d0a22585912c/full/!200,200/0/default.jpg"
1855,photograph,"https://api.nga.gov/iiif/869449d9-c229-45a7-bae9-6973835f80e7/full/!200,200/0/default.jpg"
1829,print,"https://api.nga.gov/iiif/67cf61ab-d42a-4783-a8b3-1ca60d9c4135/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/175741bf-9afd-452c-a312-159cc04ddc9c/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/6b707761-7ee6-49c3-afd6-da335ff0f5ca/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/45e5849b-69e2-4956-946c-723310f18019/full/!200,200/0/default.jpg"
1895,print,"https://api.nga.gov/iiif/1bc60076-ffb7-40e6-b7fe-5d5f394c6e84/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/bb5612cd-35cd-4d90-85ff-30c98293c2c5/full/!200,200/0/default.jpg"
1802,print,"https://api.nga.gov/iiif/919c9e4c-8b58-45f9-8114-3bf6f869a965/full/!200,200/0/default.jpg"
1600,drawing,"https://api.nga.gov/iiif/90a61ea9-3d65-4e6a-87bc-39f04e2c89a0/full/!200,200/0/default.jpg"
1890,print,"https://api.nga.gov/iiif/c05c25e5-b8e0-49c7-acc7-3a197398579f/full/!200,200/0/default.jpg"
1778,volume,"https://api.nga.gov/iiif/90ce67c0-d35d-4a40-bf83-734283f8928b/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/5810d18e-3802-4372-9a88-aae4c411b320/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/f6cca915-63fe-4fba-935c-bf056b60b79c/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/737c883c-678c-4c75-a1af-284f0eb683df/full/!200,200/0/default.jpg"
1555,print,"https://api.nga.gov/iiif/5223c8b3-a36c-46da-a766-ab8463cc3d34/full/!200,200/0/default.jpg"
