beginyear,medium,imageurl
1857,photograph,"https://api.nga.gov/iiif/dd500793-fb21-4799-8902-c38c32eb976f/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/43b2e323-d4ec-4707-a16e-83ee6077f97f/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/33d3b29d-2beb-4196-83d5-8aec6a46e59f/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/a37d3326-be1d-4e38-8806-03924f8efbfa/full/!200,200/0/default.jpg"
1898,print,"https://api.nga.gov/iiif/5f5b67f5-8aa8-4b63-9e41-00c5edbbe6cd/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/5556e9a6-ea48-42ae-b61d-878d499bd589/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/17d5aaf2-ed21-4fcc-b879-2386fc507b33/full/!200,200/0/default.jpg"
1854,print,"https://api.nga.gov/iiif/2929fe10-e593-4d40-883f-b94eb0182b2d/full/!200,200/0/default.jpg"
1600,sculpture,"https://api.nga.gov/iiif/98923725-125f-4297-8694-01aea4a8c89b/full/!200,200/0/default.jpg"
1843,painting,"https://api.nga.gov/iiif/d07b22d1-0827-4942-837f-91b090f591eb/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/f416b1fe-da83-4b62-a1d3-2949ede2578d/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/da98ee08-b01f-4f13-8985-23095fc5d0f2/full/!200,200/0/default.jpg"
1854,painting,"https://api.nga.gov/iiif/57cad3f0-cba0-4413-b6f9-0d1d20071fcd/full/!200,200/0/default.jpg"
1801,print,"https://api.nga.gov/iiif/228006a3-cea3-47ab-8c9e-4e09f0f7c9ea/full/!200,200/0/default.jpg"
1875,print,"https://api.nga.gov/iiif/d253d591-6035-4cf2-a745-d841c412fba1/full/!200,200/0/default.jpg"
1895,print,"https://api.nga.gov/iiif/de9d540a-75d6-4f23-9d96-b131bd773303/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/116e28fe-304a-4269-995b-33ec9ad3f8d5/full/!200,200/0/default.jpg"
1883,print,"https://api.nga.gov/iiif/59e8f862-614f-4479-83a8-497aedfe31aa/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/6f6ec511-2307-4ef4-acea-2198a8baf937/full/!200,200/0/default.jpg"
1515,drawing,"https://api.nga.gov/iiif/c83d323a-f517-4002-af32-1fa554a88cee/full/!200,200/0/default.jpg"
1867,drawing,"https://api.nga.gov/iiif/19421fdc-78e5-4ed9-a8e8-d1b4acc30530/full/!200,200/0/default.jpg"
1880,print,"https://api.nga.gov/iiif/626a6c7f-acf0-4c74-bc07-d483146610da/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/560545ec-1595-418c-bfd2-4191e8ca2847/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/dd72e607-6079-4de1-bb58-b6fe3fcf6d3d/full/!200,200/0/default.jpg"
