beginyear,hex_color,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl
1500,"#ccac8c","#f0e88c","#5b4228","#9f8f78","#d8c7ab","#5a4b3b","https://api.nga.gov/iiif/1ab0d7a2-8a6c-4d70-bd1f-9ad55e64808d/full/!800,800/0/default.jpg"
1470,"#a1702b","#d1bc94","#53321d","#747c6c","#cfc0a4","#203f47","https://api.nga.gov/iiif/4cc2da5c-1ba3-45b0-8b28-59d7245a012c/full/!800,800/0/default.jpg"
1500,"#4c44b8",,,,,,"https://api.nga.gov/iiif/0cfdfa20-b5fc-44d7-8891-8870b09b7ccd/full/!800,800/0/default.jpg"
1500,"#ad7f51",,,,,,"https://api.nga.gov/iiif/1b68181d-99cf-4f7d-889c-6cb9400967df/full/!800,800/0/default.jpg"
1500,"#7c5c34",,,,,,"https://api.nga.gov/iiif/81cc74a2-9fec-4f6b-890f-168097c3607d/full/!800,800/0/default.jpg"
1500,"#b2894c",,,,,,"https://api.nga.gov/iiif/2cc4aab5-463f-444d-9b4b-2272b60c2c76/full/!800,800/0/default.jpg"
1500,"#ad8d16",,,,,,"https://api.nga.gov/iiif/d092b17f-3b60-457a-ac39-900765fa8091/full/!800,800/0/default.jpg"
1500,"#c77937",,,,,,"https://api.nga.gov/iiif/1d6d0de4-a253-41ca-8030-913c1e12aca8/full/!800,800/0/default.jpg"
1500,"#b48a41","#e4c284","#734e12","#9c8155","#a49c9b","#614c2d","https://api.nga.gov/iiif/d3838a7b-6252-4a07-9cbb-a6c1ad8f5692/full/!800,800/0/default.jpg"
1500,"#bf6f3f",,,,,,"https://api.nga.gov/iiif/5d2f9bce-1dc8-4806-8d42-9f32db5d0e73/full/!800,800/0/default.jpg"
1500,"#bb8044",,,,,,"https://api.nga.gov/iiif/d3e36da8-8889-4e0e-81c1-5e6133ab3773/full/!800,800/0/default.jpg"
1500,"#ac6f2c","#e4b484","#83471b","#9b785f","#b78b63","#6e4f3b","https://api.nga.gov/iiif/f9a9b9a0-7cbe-44c6-b7b1-b7cb8e79f316/full/!800,800/0/default.jpg"
1450,"#3f3fbf",,,,,,"https://api.nga.gov/iiif/f0bb47e9-631a-4202-98a1-b48a8b3d14bf/full/!800,800/0/default.jpg"
1500,"#76492c",,,,,,"https://api.nga.gov/iiif/d6051915-07ef-4b6c-8297-5b8ed03d2d9b/full/!800,800/0/default.jpg"
1500,"#4440b4",,,,,,"https://api.nga.gov/iiif/13f507cb-2fda-4ae7-899d-b2ffb0db1e86/full/!800,800/0/default.jpg"
1500,"#389838",,,,,,"https://api.nga.gov/iiif/6067aeef-ed1a-45df-81cd-9e2bee464839/full/!800,800/0/default.jpg"
1500,"#ac6422","#dcb284","#7c4813","#ac7b56","#bb9a73","#60462b","https://api.nga.gov/iiif/1822940e-fa3b-44cf-be9f-7ca334fa69fe/full/!800,800/0/default.jpg"
1500,"#b058c0","#f9f4e2","#292413","#8c8474","#cfc8ba","#403930","https://api.nga.gov/iiif/5065473c-0f55-4727-88eb-6634e929e8dd/full/!800,800/0/default.jpg"
1510,"#70a8be","#8fc1de","#68532d","#a3855c","#b5d3dd","#314647","https://api.nga.gov/iiif/b3844568-a5d2-4da7-82db-eb843c11a311/full/!800,800/0/default.jpg"
1520,"#bf464c","#d9ad77","#56121a","#a48c54","#c4c4bb","#5c4c33","https://api.nga.gov/iiif/c99f3ca0-f414-471d-9087-e11dd82bc983/full/!800,800/0/default.jpg"
1520,"#c4a46c","#f4e4dc","#5e4a25","#b19469","#c6bcb2","#342c1c","https://api.nga.gov/iiif/306553d5-805a-43a8-8d1d-cecb57461229/full/!800,800/0/default.jpg"
1575,"#b18f43","#fcf3e9","#9c454e","#947350","#d4b4cc","#665e5c","https://api.nga.gov/iiif/e6337cc7-5c3b-4856-ac64-b45f4034595d/full/!800,800/0/default.jpg"
1600,"#ac7434","#c0d880","#5d4023","#74747c","#acacb0","#4d4144","https://api.nga.gov/iiif/63276dee-0cf4-4c3a-8911-18720fbd67c8/full/!800,800/0/default.jpg"
1600,"#94300b",,,,,,"https://api.nga.gov/iiif/b1015b29-4e1d-41b2-a519-88f28907a91e/full/!800,800/0/default.jpg"
1600,"#7c4c38",,,,,,"https://api.nga.gov/iiif/5ba8fd16-2e15-4664-98b8-d97ce2121cc3/full/!800,800/0/default.jpg"
1620,"#cc4c39","#ead47a","#784f15","#b2927b","#d2bba4","#4d3726","https://api.nga.gov/iiif/5da649ea-4e91-4331-b7b8-d84e32aaabf4/full/!800,800/0/default.jpg"
1645,"#50a43c","#d4bca4","#2f6123","#80705f","#ccbc9f","#594e40","https://api.nga.gov/iiif/0daa9ed7-3a84-4398-a404-95237eda2fe5/full/!800,800/0/default.jpg"
1662,"#3f72bf","#d4bc9c","#14243c","#647cac","#cbc2b3","#384662","https://api.nga.gov/iiif/b0b56671-265b-4127-90d7-57a0acd07e89/full/!800,800/0/default.jpg"
